LA,ESTAB,URN,PERCTOT,PPERSABS10
201,3614,100000,2.6,3.4
202,2000,136807,4.3,11
202,2001,139837,3.8,4.4
202,2002,140686,4.6,12.1
202,2019,100008,4.2,7.3
202,2036,100009,3.8,7.9
202,2065,100010,4.3,10.4
202,2078,100011,4.7,12
202,2095,100012,4,6.6
202,2184,100013,5.1,15.9
202,2219,100014,4,10.2
202,2290,100015,4.9,9.9
202,2436,100018,4.8,13.2
202,2438,100019,4.5,10.2
202,2475,100020,4.7,10.4
202,2502,100021,4.8,12.9
202,2507,100022,4.2,6.8
202,2603,100023,3.7,6.1
202,2775,100025,3.7,8.2
202,2797,100026,4.2,7.7
202,2841,100027,2.2,SUPP
202,2842,130342,4,7
202,2843,132245,3.8,6.4
202,3323,100028,2.9,1.8
202,3327,100029,3.6,4.5
202,3340,100030,3,2.8
202,3352,100031,3.3,4.2
202,3359,100032,5.6,15.5
202,3361,100033,3,2.8
202,3370,100034,4.5,9.9
202,3391,100035,3.5,6.2
202,3398,100036,5.3,17.8
202,3400,100037,5.5,17.9
202,3429,100039,5,13
202,3441,100040,3.6,3.9
202,3482,100041,4.4,8.9
202,3517,100042,3.8,8.8
202,3521,100043,4.3,10.4
202,3546,100044,5.8,21.6
202,3560,100045,5.1,15.4
202,3568,100046,4.3,8.6
202,3649,100047,3.9,7.3
202,3655,100048,5.4,21
202,4000,137181,5.6,12.8
202,4104,100049,6.9,18.8
202,4166,100050,5.3,12.5
202,4196,100051,6.7,19.2
202,4275,100052,5.4,14
202,4285,100053,6.3,18.5
202,4611,100054,3.9,3.2
202,4652,100055,5.3,14.3
202,4688,100056,5.4,15.6
202,5401,100059,4.9,9.5
202,7008,100091,7.1,19.4
202,7137,100092,27.9,81.4
202,7205,100096,10.3,31.3
203,2018,143211,3.9,7.5
203,2024,143601,4.7,12.4
203,2028,100113,3.4,6.1
203,2071,100114,4.8,12.2
203,2106,100115,3.7,5.4
203,2174,100120,5.3,15.6
203,2228,100125,4.3,9.5
203,2242,100126,3.8,9.6
203,2258,100127,4.4,11.1
203,2266,145210,5.1,12.2
203,2271,100129,4.3,8.7
203,2275,143597,3.1,4.3
203,2299,100131,5.1,12.3
203,2313,143598,4.1,7.2
203,2325,100134,3.8,5.7
203,2353,100136,4.3,10.2
203,2410,100137,3.6,6
203,2471,100140,4.6,10.9
203,2552,100141,4,9.3
203,2598,100142,4.5,9
203,2656,143594,4,7.7
203,2662,100146,4.1,4.8
203,2790,143210,4.5,9.7
203,2798,100149,3.9,6.4
203,2801,100150,3.8,11.9
203,2804,143593,3.9,7.3
203,2813,100152,3.8,7.5
203,2851,100154,3.9,8
203,2877,100155,4.2,11
203,2885,143592,3.6,5.3
203,2890,143079,3.4,6.9
203,2900,100158,3.8,8.7
203,2901,100159,5.5,17.6
203,2902,145215,3.8,7.1
203,2915,100162,3.7,6.2
203,2916,100163,3.9,6.1
203,2917,100164,4.4,11.3
203,2918,130921,4.8,10
203,2919,143209,4,10.6
203,2920,143596,4.3,9.5
203,2921,131246,4,9.1
203,2922,131841,4.3,8.2
203,2923,143599,3.4,2.7
203,2924,132800,4.4,11.3
203,2925,132827,4.2,9
203,3322,100165,3.9,10.1
203,3331,100166,2.8,2.2
203,3338,100167,3.5,3.9
203,3382,100168,2.9,4.1
203,3481,100169,3.9,9.3
203,3500,100170,4.2,9
203,3526,100171,3.6,7.4
203,3535,144091,2.5,0.8
203,3561,100173,2.4,2.9
203,3577,100174,3.2,4.5
203,3585,100175,1.9,1.6
203,3604,100176,2.9,3.9
203,3632,100177,3.5,8.4
203,3657,100178,3.8,7.7
203,3662,100179,2.5,3.8
203,3666,100180,2.5,4
203,3668,100181,2.6,2.2
203,3670,131109,3.8,8.9
203,4000,138449,5.4,13.2
