Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
1,RECTYPE,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools)),,Yes,Yes,Yes,Yes
2,LEA,Local authority code (see separate list of local authorities and their codes),,Yes,Yes,Yes,Yes
3,ESTAB,Establishment number,,Yes,Yes,Yes,Yes
4,URN,School Unique Reference Number,,Yes,Yes,Yes,Yes
5,SCHNAME,School name,,Yes,Yes,Yes,Yes
6,SCHNAME_AC,School now known as (used if the school has converted to an academy on or after 12 Sept 2018),,Yes,Yes,Yes,Yes
7,ADDRESS1,School address (1),,Yes,Yes,Yes,Yes
8,ADDRESS2,School address (2),,,Yes,Yes,Yes
9,ADDRESS3,School address (3),,,Yes,Yes,Yes
10,TOWN,School town,,Yes,Yes,Yes,Yes
11,PCODE,School postcode,,Yes,Yes,Yes,Yes
12,TELNUM,School telephone number,,Yes,Yes,Yes,Yes
13,CONTFLAG,Contingency flag - school results 'significantly affected'. This field is zero for all schools.,,,,Yes,Yes
14,ICLOSE,Closed school flag (0=open; 1=closed),,,Yes,Yes,Yes
15,NFTYPE,School type (see separate list of abbreviations used in the tables),,Yes,Yes,Yes,Yes
16,RELDENOM,School religious character,,Yes,Yes,Yes,Yes
17,ADMPOL,School admissions policy (self-declared by schools on Edubase),,Yes,Yes,Yes,Yes
18,ADMPOL_18,School admissions policy - new definition from 2018,,,,,
19,EGENDER,School gender of entry,,Yes,Yes,Yes,Yes
20,FEEDER,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes),,Yes,Yes,Yes,Yes
21,TABKS2,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes),,Yes,Yes,Yes,Yes
22,TAB1618,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes),,Yes,Yes,Yes,Yes
23,AGERANGE,Age range,,Yes,Yes,Yes,Yes
24,CONFEXAM,Indicates whether the school has checked its results (R=No; blank=Yes),,,Yes,Yes,Yes
25,TOTPUPS,Number of pupils on roll (all ages),,Yes,Yes,Yes,Yes
26,NUMBOYS,Total boys on roll (including part-time pupils),,,,,
27,NUMGIRLS,Total girls on roll (including part-time pupils),,,,,
28,TPUP,Number of pupils at the end of key stage 4,,,,,
29,BPUP,Number of boys at the end of key stage 4,,,,,
30,PBPUP,Percentage of pupils at the end of key stage 4 who are boys,,,,,
31,GPUP,Number of girls at the end of key stage 4,,,,,
32,PGPUP,Percentage of pupils at the end key stage 4 who are girls,,,,,
33,KS2APS,Key stage 2 Average Points Score of the cohort at the end of key stage 4,,,,Yes,
34,TPRIORLO,Number of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,
35,PTPRIORLO,Percentage of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,
36,TPRIORAV,Number of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,
37,PTPRIORAV,Percentage of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,
38,TPRIORHI,Number of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,
39,PTPRIORHI,Percentage of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,
40,TFSM6CLA1A,Number of disadvantaged pupils at the end of key stage 4,,,,Yes,
41,PTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are disadvantaged,,,,Yes,
42,TNOTFSM6CLA1A,Number of non-disadvantaged pupils at the end of key stage 4,,,,Yes,
43,PTNOTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are not disadvantaged,,,,Yes,
44,TEALGRP2,Number of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,
45,PTEALGRP2,Percentage of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,
46,TEALGRP1,Number of pupils at the end of key stage 4 with English as their first language,,,,Yes,
47,PTEALGRP1,Percentage of pupils at the end of key stage 4 with English as their first language,,,,Yes,
48,TEALGRP3,Number of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,
49,PTEALGRP3,Percentage of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,
50,TNMOB,Number of pupils at the end of key stage 4 who are non-mobile,,,,Yes,
51,PTNMOB,Percentage of pupils at the end of key stage 4 who are non-mobile,,,,Yes,
52,SENSE4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,,,Yes,
53,PSENSE4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,,,Yes,
54,SENAPK4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,,,Yes,
55,PSENAPK4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,,,Yes,
56,SEN_ALL,"Number of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan",,,,Yes,
57,PSEN_ALL,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan",,,,Yes,
58,TOTATT8,Total sum of Attainment 8 scores,,,,,
59,ATT8SCR,Average Attainment 8 score per pupil,,,,,
60,TOTATT8ENG,Total sum of Attainment 8 scores for English element,,,,,
61,ATT8SCRENG,Average Attainment 8 score per pupil for English element,,,,,
62,TOTATT8MAT,Total sum of Attainment 8 scores for mathematics element,,,,,
