,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,FSM Eligible %,<2 A levels,< AAB,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
3,E06000001,0.187969925,0.37593985,0.0,0.827205882,,0.29545,0.8983099999999999,0.438596491,1.666666667,0.0,0.520833333,0.07240653,0.75,0.534
4,E06000002,1.511335013,2.770780856,0.100755668,2.695956066,,0.36743000000000003,0.90881,2.464183381,3.839541547,0.05730659,13.63893605,0.173575237,0.783,0.46099999999999997
8,E06000003,0.263331139,0.526662278,0.0,1.371652515,,0.23263,0.86907,0.946585531,1.487491548,0.135226504,1.928191489,0.26902558,0.5820000000000001,0.22999999999999998
10,E06000004,0.672268908,0.504201681,0.084033613,1.04427736,,0.22014,0.8156,1.909090909,1.545454545,0.5,2.574525745,0.127347978,0.71,0.22699999999999998
0,E06000005,0.356824264,1.33809099,0.0,0.71237756,,0.23524,0.82458,2.852049911,8.199643494,0.0,1.426024955,0.061762708,0.712,0.358
19,E06000006,1.369863014,3.424657534,0.205479452,5.866302865,,0.21688999999999992,0.90774,0.466666667,1.466666667,0.0,3.344262295,0.109706405,0.685,0.44999999999999996
32,E06000007,1.403368083,2.165196472,0.0,0.561347233,,0.39530999999999994,0.87766,1.249461439,2.498922878,0.043084877,2.835378756,0.024819285,0.761,0.478
12,E06000008,2.344894968,3.566194431,0.0,3.712750366,,0.20972999999999997,0.89454,3.804627249,4.935732648,0.0,7.403598972,0.033464713,0.867,0.3540000000000001
13,E06000009,1.026957638,1.283697047,0.0,3.209242619,,0.24507,0.8681099999999999,3.182461103,4.101838755,0.0,17.48107364,0.223749401,0.716,0.476
49,E06000010,0.636556532,2.485601697,0.0,4.183085784,,0.24234,0.87186,2.21402214,6.239516941,0.06709158,7.98925814,0.114939657,0.706,0.42500000000000004
39,E06000011,0.062460962,0.749531543,0.0,0.780762024,,0.26685000000000003,0.8605,0.25502072,1.243226012,0.06375518,7.464114833,0.074988972,0.878,0.44799999999999995
42,E06000012,0.169300226,0.902934537,0.0,1.015801354,,0.29364,0.88533,0.886001181,1.476668636,0.0,5.847607797,0.173618463,0.585,0.5189999999999999
43,E06000013,0.518134715,1.813471503,0.0,1.295336788,,0.37481,0.90891,0.736454498,2.577590742,0.0,4.809200209,0.10679811,0.683,0.387
48,E06000014,1.473577236,0.050813008,1.168699187,1.028277635,,0.28884,0.7357400000000001,1.023155627,0.053850296,1.938610662,3.514552444,0.019882297,0.73,0.502
50,E06000015,1.496338746,2.801655524,0.095510984,2.619949495,,0.1824800000000001,0.87104,3.880494505,6.009615385,0.343406593,5.519053876,0.150708802,0.837,0.42200000000000004
52,E06000016,1.142857143,3.868131868,0.0,5.912087912,,0.21716999999999997,0.8442000000000001,2.1875,5.745192308,0.0,13.10096154,0.037688442,0.84,0.375
58,E06000017,0.0,0.262467192,1.57480315,4.533333333,,0.04808000000000012,0.79208,0.285714286,2.0,0.285714286,8.595988539,0.053648069,0.667,0.123
56,E06000018,1.888828926,2.833243389,0.02698327,6.018893387,,0.2698900000000001,0.85004,3.685503686,5.251842752,0.245700246,14.60639606,0.120602558,0.7989999999999999,0.41400000000000003
62,E06000019,0.595560368,0.0,2.490525176,1.11049417,,0.20745999999999998,0.83917,0.119760479,0.0,1.556886228,4.622871046,0.0723589,0.852,0.43500000000000005
68,E06000020,1.120448179,3.734827264,0.0,1.680672269,,0.24863000000000002,0.77376,2.268145161,4.183467742,0.0,7.358870968,0.072110432,0.5509999999999999,0.242
67,E06000021,1.180289171,3.334316908,0.0,6.637168142,,0.21436999999999995,0.90579,1.055223356,2.708406613,0.0,15.13793103,0.124990434,0.673,0.356
103,E06000022,0.67001675,0.949190396,0.390843104,3.195067265,,0.22092,0.82256,0.943396226,2.653301887,0.353773585,0.946745562,0.115143186,0.7310000000000001,0.43700000000000006
114,E06000023,2.663972074,3.509094249,0.0,3.013044277,,0.18149000000000004,0.83204,4.458598726,9.389006841,0.0,13.37579618,0.023932851,0.8280000000000001,0.392
107,E06000024,1.019974501,1.487462813,0.042498938,1.615646259,,0.17955,0.85094,0.277777778,1.25,0.138888889,2.920723227,0.149046105,0.63,0.491
110,E06000025,1.757689893,2.040175769,0.0,2.165725047,,0.28557,0.85848,2.443342776,2.620396601,0.0,15.33286119,0.143072482,0.957,0.5529999999999999
108,E06000026,0.751622822,1.639904339,0.0,2.049880424,,0.26083,0.8319,1.266308519,0.844205679,0.0,4.988488104,0.103111386,0.773,0.43299999999999994
112,E06000027,1.52173913,3.333333333,0.072463768,3.40826686,,0.21930000000000005,0.77829,1.410788382,1.908713693,0.331950207,3.746877602,0.24702561,0.861,0.46099999999999997
111,E06000030,1.053013798,1.779230211,0.072621641,1.767676768,,0.4292,0.92437,0.804743753,1.482422702,0.0,15.31138437,0.097041699,0.806,0.608
80,E06000031,0.856836844,2.177793645,0.0,0.928239914,,0.27436000000000005,0.8285,1.661695782,2.087771623,0.213037921,4.654141759,0.103003361,0.744,0.372
78,E06000032,1.06075217,1.735776278,0.032144005,3.279742765,,0.21522000000000008,0.89989,3.176748902,4.798918554,0.033795201,5.170665765,0.148085466,0.938,0.2879999999999999
81,E06000033,1.199040767,1.582733813,0.0,1.870503597,,0.12397000000000002,0.8012,4.791666667,7.083333333,0.0,12.34375,0.054443991,0.837,0.41600000000000004
83,E06000034,0.750883392,1.192579505,0.265017668,2.922940655,,0.29501999999999995,0.87079,4.21101342,6.015733457,2.406293383,13.60834519,0.123365408,0.785,0.401
91,E06000035,1.421800948,2.517772512,0.0,3.050947867,,0.23638000000000003,0.84442,3.596214511,4.605678233,0.0,3.785488959,0.129306566,0.784,0.496
