,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
3,E06000001,0.187969925,0.37593985,0.0,0.8272058820000001,0.438596491,1.666666667,0.0,0.520833333,25.7971205,29.544999999999998,89.83099999999999,7.240653,75.0,53.400000000000006
4,E06000002,1.511335013,2.770780856,0.100755668,2.695956066,2.464183381,3.839541547,0.05730659,13.63893605,24.18982436,36.743,90.881,17.357523699999998,78.3,46.099999999999994
8,E06000003,0.263331139,0.526662278,0.0,1.371652515,0.946585531,1.487491548,0.135226504,1.928191489,17.97113327,23.263,86.907,26.902558,58.20000000000001,23.0
10,E06000004,0.672268908,0.504201681,0.084033613,1.04427736,1.9090909090000001,1.545454545,0.5,2.574525745,16.43831262,22.014,81.56,12.7347978,71.0,22.7
0,E06000005,0.356824264,1.33809099,0.0,0.71237756,2.852049911,8.199643494,0.0,1.426024955,16.55899561,23.524,82.458,6.1762708,71.2,35.8
19,E06000006,1.369863014,3.424657534,0.205479452,5.866302865,0.466666667,1.466666667,0.0,3.344262295,26.103281559999996,21.688999999999993,90.774,10.9706405,68.5,44.99999999999999
32,E06000007,1.403368083,2.165196472,0.0,0.561347233,1.249461439,2.498922878,0.043084877,2.835378756,10.9932915,39.53099999999999,87.766,2.4819285,76.1,47.8
12,E06000008,2.344894968,3.566194431,0.0,3.712750366,3.8046272490000006,4.935732648,0.0,7.403598972,15.19591642,20.973,89.454,3.3464713,86.7,35.400000000000006
13,E06000009,1.026957638,1.283697047,0.0,3.2092426189999994,3.1824611029999996,4.101838755,0.0,17.48107364,25.521162349999997,24.507,86.81099999999999,22.3749401,71.6,47.599999999999994
49,E06000010,0.636556532,2.485601697,0.0,4.183085784,2.21402214,6.239516941,0.06709158,7.98925814,22.46175756,24.234,87.18599999999999,11.4939657,70.6,42.50000000000001
39,E06000011,0.06246096200000001,0.749531543,0.0,0.780762024,0.25502072,1.243226012,0.06375518,7.464114833,11.81553036,26.685000000000002,86.05000000000001,7.4988972,87.8,44.8
42,E06000012,0.169300226,0.902934537,0.0,1.015801354,0.886001181,1.476668636,0.0,5.847607797,15.862300309999998,29.364,88.533,17.3618463,58.5,51.89999999999999
