location,location_code,geographic_level,time_period,characteristic_value,pc_achieving_atleast_two_alev,pc_achieving_aab_or_better_alev
County Durham,E06000047,localAuthority,201819,All state-funded students,69.924,21.32
Darlington,E06000005,localAuthority,201819,All state-funded students,76.476,17.542
Gateshead,E08000037,localAuthority,201819,All state-funded students,72.591,14.134
Hartlepool,E06000001,localAuthority,201819,All state-funded students,70.455,10.169
Middlesbrough,E06000002,localAuthority,201819,All state-funded students,63.257,9.119
Newcastle upon Tyne,E08000021,localAuthority,201819,All state-funded students,78.499,16.9
North Tyneside,E08000022,localAuthority,201819,All state-funded students,76.954,16.022
Northumberland,E06000048,localAuthority,201819,All state-funded students,72.226,20.116
Redcar and Cleveland,E06000003,localAuthority,201819,All state-funded students,76.737,13.093
South Tyneside,E08000023,localAuthority,201819,All state-funded students,78.399,15.945
Stockton-on-Tees,E06000004,localAuthority,201819,All state-funded students,77.986,18.44
Sunderland,E08000024,localAuthority,201819,All state-funded students,68.297,12.048
Blackburn with Darwen,E06000008,localAuthority,201819,All state-funded students,79.027,10.546
Blackpool,E06000009,localAuthority,201819,All state-funded students,75.493,13.189
Bolton,E08000001,localAuthority,201819,All state-funded students,80.199,7.968
Bury,E08000002,localAuthority,201819,All state-funded students,81.464,14.481
Cheshire East,E06000049,localAuthority,201819,All state-funded students,80.694,18.56
Cheshire West and Chester,E06000050,localAuthority,201819,All state-funded students,84.41,23.189
Cumbria,E10000006,localAuthority,201819,All state-funded students,74.951,17.986
Halton,E06000006,localAuthority,201819,All state-funded students,78.311,9.226
Knowsley,E08000011,localAuthority,201819,All state-funded students,41.667,0
Lancashire,E10000017,localAuthority,201819,All state-funded students,82.454,20.464
Liverpool,E08000012,localAuthority,201819,All state-funded students,72.829,14.921
Manchester,E08000003,localAuthority,201819,All state-funded students,84.405,15.215
Oldham,E08000004,localAuthority,201819,All state-funded students,75.361,11.407
Rochdale,E08000005,localAuthority,201819,All state-funded students,75.776,11.262
Salford,E08000006,localAuthority,201819,All state-funded students,57.471,7.95
Sefton,E08000014,localAuthority,201819,All state-funded students,71.076,10.736
St. Helens,E08000013,localAuthority,201819,All state-funded students,74.656,11.931
Stockport,E08000007,localAuthority,201819,All state-funded students,79.887,13.836
Tameside,E08000008,localAuthority,201819,All state-funded students,74.8,11.011
Trafford,E08000009,localAuthority,201819,All state-funded students,93.976,35.514
Warrington,E06000007,localAuthority,201819,All state-funded students,60.469,12.234
Wigan,E08000010,localAuthority,201819,All state-funded students,86.772,17.371
Wirral,E08000015,localAuthority,201819,All state-funded students,79.865,17.93
Barnsley,E08000016,localAuthority,201819,All state-funded students,78.389,13.699
Bradford,E08000032,localAuthority,201819,All state-funded students,72.921,10.522
Calderdale,E08000033,localAuthority,201819,All state-funded students,76.037,14.815
Doncaster,E08000017,localAuthority,201819,All state-funded students,74.689,12.088
East Riding of Yorkshire,E06000011,localAuthority,201819,All state-funded students,73.315,13.95
"Kingston upon Hull, City of",E06000010,localAuthority,201819,All state-funded students,75.766,12.814
Kirklees,E08000034,localAuthority,201819,All state-funded students,83.27,21.211
Leeds,E08000035,localAuthority,201819,All state-funded students,74.604,14.489
North East Lincolnshire,E06000012,localAuthority,201819,All state-funded students,70.636,11.467
North Lincolnshire,E06000013,localAuthority,201819,All state-funded students,62.519,9.109
North Yorkshire,E10000023,localAuthority,201819,All state-funded students,79.53,22.799
Rotherham,E08000018,localAuthority,201819,All state-funded students,69.633,10.116
Sheffield,E08000019,localAuthority,201819,All state-funded students,78.157,19.765
Wakefield,E08000036,localAuthority,201819,All state-funded students,79.733,12.925
York,E06000014,localAuthority,201819,All state-funded students,71.116,26.426
Derby,E06000015,localAuthority,201819,All state-funded students,81.752,12.896
Derbyshire,E10000007,localAuthority,201819,All state-funded students,80.706,16.743
Leicester,E06000016,localAuthority,201819,All state-funded students,78.283,15.58
Leicestershire,E10000018,localAuthority,201819,All state-funded students,80.145,14.454
Lincolnshire,E10000019,localAuthority,201819,All state-funded students,79.2,17.413
Northamptonshire,E10000021,localAuthority,201819,All state-funded students,80.391,12.327
Nottingham,E06000018,localAuthority,201819,All state-funded students,73.011,14.996
Nottinghamshire,E10000024,localAuthority,201819,All state-funded students,78.711,15.482
Rutland,E06000017,localAuthority,201819,All state-funded students,95.192,20.792
