location,location_code,geographic_level,time_period,school_type,perm_excl_rate
Not available,:,localAuthorityDistrict,201718,Total,0.101471334
County Durham,E06000047,localAuthorityDistrict,201718,Total,0.122755869
Darlington,E06000005,localAuthorityDistrict,201718,Total,0.061762708
Gateshead,E08000037,localAuthorityDistrict,201718,Total,0.200640642
Hartlepool,E06000001,localAuthorityDistrict,201718,Total,0.07240653
Middlesbrough,E06000002,localAuthorityDistrict,201718,Total,0.173575237
Newcastle upon Tyne,E08000021,localAuthorityDistrict,201718,Total,0.148798265
North Tyneside,E08000022,localAuthorityDistrict,201718,Total,0.058673968
Northumberland,E06000057,localAuthorityDistrict,201718,Total,0.187816249
Redcar and Cleveland,E06000003,localAuthorityDistrict,201718,Total,0.26902558
South Tyneside,E08000023,localAuthorityDistrict,201718,Total,0.170271514
Stockton-on-Tees,E06000004,localAuthorityDistrict,201718,Total,0.127347978
Sunderland,E08000024,localAuthorityDistrict,201718,Total,0.131834237
Allerdale,E07000026,localAuthorityDistrict,201718,Total,0.143081011
Barrow-in-Furness,E07000027,localAuthorityDistrict,201718,Total,0.160444967
Blackburn with Darwen,E06000008,localAuthorityDistrict,201718,Total,0.033464713
Blackpool,E06000009,localAuthorityDistrict,201718,Total,0.223749401
Bolton,E08000001,localAuthorityDistrict,201718,Total,0.142981475
Burnley,E07000117,localAuthorityDistrict,201718,Total,0.208209399
Bury,E08000002,localAuthorityDistrict,201718,Total,0.193535244
Carlisle,E07000028,localAuthorityDistrict,201718,Total,0.16016016
Cheshire East,E06000049,localAuthorityDistrict,201718,Total,0.080376837
Cheshire West and Chester,E06000050,localAuthorityDistrict,201718,Total,0.048750762
Chorley,E07000118,localAuthorityDistrict,201718,Total,0.138752385
Copeland,E07000029,localAuthorityDistrict,201718,Total,0.166389351
Eden,E07000030,localAuthorityDistrict,201718,Total,0.084530854
Fylde,E07000119,localAuthorityDistrict,201718,Total,0.188479208
Halton,E06000006,localAuthorityDistrict,201718,Total,0.109706405
Hyndburn,E07000120,localAuthorityDistrict,201718,Total,0.209010683
Knowsley,E08000011,localAuthorityDistrict,201718,Total,0.065293822
Lancaster,E07000121,localAuthorityDistrict,201718,Total,0.173812283
Liverpool,E08000012,localAuthorityDistrict,201718,Total,0.125184299
Manchester,E08000003,localAuthorityDistrict,201718,Total,0.128147852
Oldham,E08000004,localAuthorityDistrict,201718,Total,0.107603196
Pendle,E07000122,localAuthorityDistrict,201718,Total,0.239408009
Preston,E07000123,localAuthorityDistrict,201718,Total,0.254413292
Ribble Valley,E07000124,localAuthorityDistrict,201718,Total,0.195293428
Rochdale,E08000005,localAuthorityDistrict,201718,Total,0.168771624
Rossendale,E07000125,localAuthorityDistrict,201718,Total,0.204046931
Salford,E08000006,localAuthorityDistrict,201718,Total,0.168137873
Sefton,E08000014,localAuthorityDistrict,201718,Total,0.098654255
South Lakeland,E07000031,localAuthorityDistrict,201718,Total,0.092903595
South Ribble,E07000126,localAuthorityDistrict,201718,Total,0.256050722
St. Helens,E08000013,localAuthorityDistrict,201718,Total,0.041602057
Stockport,E08000007,localAuthorityDistrict,201718,Total,0.10654527
Tameside,E08000008,localAuthorityDistrict,201718,Total,0.268794857
Trafford,E08000009,localAuthorityDistrict,201718,Total,0.162286545
Warrington,E06000007,localAuthorityDistrict,201718,Total,0.024819285
West Lancashire,E07000127,localAuthorityDistrict,201718,Total,0.158147773
Wigan,E08000010,localAuthorityDistrict,201718,Total,0.079431528
Wirral,E08000015,localAuthorityDistrict,201718,Total,0.090541438
Wyre,E07000128,localAuthorityDistrict,201718,Total,0.079675503
Barnsley,E08000016,localAuthorityDistrict,201718,Total,0.133495506
Bradford,E08000032,localAuthorityDistrict,201718,Total,0.025240288
Calderdale,E08000033,localAuthorityDistrict,201718,Total,0.117979532
Craven,E07000163,localAuthorityDistrict,201718,Total,0.090303646
Doncaster,E08000017,localAuthorityDistrict,201718,Total,0.088674943
East Riding of Yorkshire,E06000011,localAuthorityDistrict,201718,Total,0.074988972
Hambleton,E07000164,localAuthorityDistrict,201718,Total,0.163013947
Harrogate,E07000165,localAuthorityDistrict,201718,Total,0.085316952
Kingston upon Hull City of,E06000010,localAuthorityDistrict,201718,Total,0.114939657
Kirklees,E08000034,localAuthorityDistrict,201718,Total,0.10674732
Leeds,E08000035,localAuthorityDistrict,201718,Total,0.004890972
North East Lincolnshire,E06000012,localAuthorityDistrict,201718,Total,0.173618463
North Lincolnshire,E06000013,localAuthorityDistrict,201718,Total,0.10679811
Richmondshire,E07000166,localAuthorityDistrict,201718,Total,0.060652009
Rotherham,E08000018,localAuthorityDistrict,201718,Total,0.085670484
Ryedale,E07000167,localAuthorityDistrict,201718,Total,0.071479628
Scarborough,E07000168,localAuthorityDistrict,201718,Total,0.195415257
Selby,E07000169,localAuthorityDistrict,201718,Total,0.126957258
Sheffield,E08000019,localAuthorityDistrict,201718,Total,0.154827754
Wakefield,E08000036,localAuthorityDistrict,201718,Total,0.127696882
York,E06000014,localAuthorityDistrict,201718,Total,0.019882297
Amber Valley,E07000032,localAuthorityDistrict,201718,Total,0.129606672
Ashfield,E07000170,localAuthorityDistrict,201718,Total,0.005164489
Bassetlaw,E07000171,localAuthorityDistrict,201718,Total,0.112746262
Blaby,E07000129,localAuthorityDistrict,201718,Total,0.025083612
Bolsover,E07000033,localAuthorityDistrict,201718,Total,0.40995062
Boston,E07000136,localAuthorityDistrict,201718,Total,0.142580711
Broxtowe,E07000172,localAuthorityDistrict,201718,Total,0.039190072
Charnwood,E07000130,localAuthorityDistrict,201718,Total,0.026065424
Chesterfield,E07000034,localAuthorityDistrict,201718,Total,0.20150806
Corby,E07000150,localAuthorityDistrict,201718,Total,0.121496841
Daventry,E07000151,localAuthorityDistrict,201718,Total,0.125684532
Derby,E06000015,localAuthorityDistrict,201718,Total,0.150708802
Derbyshire Dales,E07000035,localAuthorityDistrict,201718,Total,0.062926062
East Lindsey,E07000137,localAuthorityDistrict,201718,Total,0.177001256
East Northamptonshire,E07000152,localAuthorityDistrict,201718,Total,0.16185365
Erewash,E07000036,localAuthorityDistrict,201718,Total,0.159979523
Gedling,E07000173,localAuthorityDistrict,201718,Total,0.109523027
Harborough,E07000131,localAuthorityDistrict,201718,Total,0.015503876
High Peak,E07000037,localAuthorityDistrict,201718,Total,0.159022431
Hinckley and Bosworth,E07000132,localAuthorityDistrict,201718,Total,0.039552492
Kettering,E07000153,localAuthorityDistrict,201718,Total,0.053908356
Leicester,E06000016,localAuthorityDistrict,201718,Total,0.037688442
Lincoln,E07000138,localAuthorityDistrict,201718,Total,0.06466911
Mansfield,E07000174,localAuthorityDistrict,201718,Total,0
Melton,E07000133,localAuthorityDistrict,201718,Total,0.102835317
Newark and Sherwood,E07000175,localAuthorityDistrict,201718,Total,0.006705559
North East Derbyshire,E07000038,localAuthorityDistrict,201718,Total,0.162162162
North Kesteven,E07000139,localAuthorityDistrict,201718,Total,0.070134424
North West Leicestershire,E07000134,localAuthorityDistrict,201718,Total,0.007304602
Northampton,E07000154,localAuthorityDistrict,201718,Total,0.066148979
Nottingham,E06000018,localAuthorityDistrict,201718,Total,0.120602558
Oadby and Wigston,E07000135,localAuthorityDistrict,201718,Total,0.00879817
Rushcliffe,E07000176,localAuthorityDistrict,201718,Total,0.04039996
Rutland,E06000017,localAuthorityDistrict,201718,Total,0.053648069
South Derbyshire,E07000039,localAuthorityDistrict,201718,Total,0.0633563
South Holland,E07000140,localAuthorityDistrict,201718,Total,0.032074413
South Kesteven,E07000141,localAuthorityDistrict,201718,Total,0.093348891
South Northamptonshire,E07000155,localAuthorityDistrict,201718,Total,0.113344867
Wellingborough,E07000156,localAuthorityDistrict,201718,Total,0.185036203
West Lindsey,E07000142,localAuthorityDistrict,201718,Total,0.113481616
Birmingham,E08000025,localAuthorityDistrict,201718,Total,0.113241771
Bromsgrove,E07000234,localAuthorityDistrict,201718,Total,0.062699856
Cannock Chase,E07000192,localAuthorityDistrict,201718,Total,0.276614242
Coventry,E08000026,localAuthorityDistrict,201718,Total,0.129619961
Dudley,E08000027,localAuthorityDistrict,201718,Total,0.198634913
East Staffordshire,E07000193,localAuthorityDistrict,201718,Total,0.11308147
Herefordshire County of,E06000019,localAuthorityDistrict,201718,Total,0.0723589
Lichfield,E07000194,localAuthorityDistrict,201718,Total,0.098412282
Malvern Hills,E07000235,localAuthorityDistrict,201718,Total,0.13613991
Newcastle-under-Lyme,E07000195,localAuthorityDistrict,201718,Total,0.176090785
North Warwickshire,E07000218,localAuthorityDistrict,201718,Total,0.083433763
Nuneaton and Bedworth,E07000219,localAuthorityDistrict,201718,Total,0.115543329
Redditch,E07000236,localAuthorityDistrict,201718,Total,0.148649765
Rugby,E07000220,localAuthorityDistrict,201718,Total,0.074524904
Sandwell,E08000028,localAuthorityDistrict,201718,Total,0.143259232
Shropshire,E06000051,localAuthorityDistrict,201718,Total,0.159166175
Solihull,E08000029,localAuthorityDistrict,201718,Total,0.148702697
South Staffordshire,E07000196,localAuthorityDistrict,201718,Total,0.130404942
Stafford,E07000197,localAuthorityDistrict,201718,Total,0.13845413
Staffordshire Moorlands,E07000198,localAuthorityDistrict,201718,Total,0.080704822
Stoke-on-Trent,E06000021,localAuthorityDistrict,201718,Total,0.124990434
Stratford-on-Avon,E07000221,localAuthorityDistrict,201718,Total,0.088601657
Tamworth,E07000199,localAuthorityDistrict,201718,Total,0.081185305
Telford and Wrekin,E06000020,localAuthorityDistrict,201718,Total,0.072110432
Walsall,E08000030,localAuthorityDistrict,201718,Total,0.11481527
Warwick,E07000222,localAuthorityDistrict,201718,Total,0.102957158
Wolverhampton,E08000031,localAuthorityDistrict,201718,Total,0.22931734
Worcester,E07000237,localAuthorityDistrict,201718,Total,0.120362504
Wychavon,E07000238,localAuthorityDistrict,201718,Total,0.094793148
Wyre Forest,E07000239,localAuthorityDistrict,201718,Total,0.099785078
