location,location_code,geographic_level,time_period,phase,fsm_eligible_percent
Darlington,E06000005,localAuthority,201718 Spring Term,Total,16.55899561
Durham,E06000047,localAuthority,201718 Spring Term,Total,18.13613083
Gateshead,E08000020,localAuthority,201718 Spring Term,Total,15.93868123
Hartlepool,E06000001,localAuthority,201718 Spring Term,Total,25.7971205
Middlesbrough,E06000002,localAuthority,201718 Spring Term,Total,24.18982436
Newcastle upon Tyne,E08000021,localAuthority,201718 Spring Term,Total,25.61347035
North Tyneside,E08000022,localAuthority,201718 Spring Term,Total,12.61867603
Northumberland,E06000048,localAuthority,201718 Spring Term,Total,12.32465151
Redcar and Cleveland,E06000003,localAuthority,201718 Spring Term,Total,17.97113327
South Tyneside,E08000023,localAuthority,201718 Spring Term,Total,19.16040214
Stockton-on-Tees,E06000004,localAuthority,201718 Spring Term,Total,16.43831262
Sunderland,E08000024,localAuthority,201718 Spring Term,Total,20.99619089
Blackburn with Darwen,E06000008,localAuthority,201718 Spring Term,Total,15.19591642
Blackpool,E06000009,localAuthority,201718 Spring Term,Total,25.52116235
Bolton,E08000001,localAuthority,201718 Spring Term,Total,15.94007876
Bury,E08000002,localAuthority,201718 Spring Term,Total,14.79383703
Cheshire East,E06000049,localAuthority,201718 Spring Term,Total,8.372032058
Cheshire West and Chester,E06000050,localAuthority,201718 Spring Term,Total,11.57775714
Cumbria,E10000006,localAuthority,201718 Spring Term,Total,9.875283773
Halton,E06000006,localAuthority,201718 Spring Term,Total,26.10328156
Knowsley,E08000011,localAuthority,201718 Spring Term,Total,29.13825477
Lancashire,E10000017,localAuthority,201718 Spring Term,Total,13.47102822
Liverpool,E08000012,localAuthority,201718 Spring Term,Total,24.02755492
Manchester,E08000003,localAuthority,201718 Spring Term,Total,24.77103773
Oldham,E08000004,localAuthority,201718 Spring Term,Total,17.62072274
Rochdale,E08000005,localAuthority,201718 Spring Term,Total,18.92479714
Salford,E08000006,localAuthority,201718 Spring Term,Total,21.60630009
Sefton,E08000014,localAuthority,201718 Spring Term,Total,15.29370524
St. Helens,E08000013,localAuthority,201718 Spring Term,Total,15.83864916
Stockport,E08000007,localAuthority,201718 Spring Term,Total,11.40447819
Tameside,E08000008,localAuthority,201718 Spring Term,Total,17.373172
Trafford,E08000009,localAuthority,201718 Spring Term,Total,8.56983862
Warrington,E06000007,localAuthority,201718 Spring Term,Total,10.9932915
Wigan,E08000010,localAuthority,201718 Spring Term,Total,14.27110846
Wirral,E08000015,localAuthority,201718 Spring Term,Total,17.01661421
Barnsley,E08000016,localAuthority,201718 Spring Term,Total,18.04951637
