location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Darlington,E06000005,localAuthority,201718,Primary,0.356824264,1.33809099,0,0.71237756
Durham,E06000047,localAuthority,201718,Primary,0.398565165,0.657632523,0.079713033,2.028639618
Gateshead,E08000020,localAuthority,201718,Primary,0.874635569,0.485908649,0,1.344215074
Hartlepool,E06000001,localAuthority,201718,Primary,0.187969925,0.37593985,0,0.827205882
Middlesbrough,E06000002,localAuthority,201718,Primary,1.511335013,2.770780856,0.100755668,2.695956066
Newcastle upon Tyne,E08000021,localAuthority,201718,Primary,2.049967969,3.491351698,0,3.010890455
North Tyneside,E08000022,localAuthority,201718,Primary,1.267482517,2.01048951,0.524475524,2.090592334
Northumberland,E06000048,localAuthority,201718,Primary,0.233333333,0,0.766666667,0.638226402
Redcar and Cleveland,E06000003,localAuthority,201718,Primary,0.263331139,0.526662278,0,1.371652515
South Tyneside,E08000023,localAuthority,201718,Primary,0.766283525,0.383141762,2.681992337,1.00565682
Stockton-on-Tees,E06000004,localAuthority,201718,Primary,0.672268908,0.504201681,0.084033613,1.04427736
Sunderland,E08000024,localAuthority,201718,Primary,0.636492221,0,0.601131542,1.529704731
Blackburn with Darwen,E06000008,localAuthority,201718,Primary,2.344894968,3.566194431,0,3.712750366
Blackpool,E06000009,localAuthority,201718,Primary,1.026957638,1.283697047,0,3.209242619
Bolton,E08000001,localAuthority,201718,Primary,1.491300746,2.89975145,0,1.171981466
Bury,E08000002,localAuthority,201718,Primary,1.954821894,3.735881842,0.304083406,6.133909287
Cheshire East,E06000049,localAuthority,201718,Primary,1.002109705,2.056962025,0,1.977848101
Cheshire West and Chester,E06000050,localAuthority,201718,Primary,1.299802204,1.977959876,0,1.158519356
Cumbria,E10000006,localAuthority,201718,Primary,0.241492865,0.614709111,0.06586169,0.153778559
Halton,E06000006,localAuthority,201718,Primary,1.369863014,3.424657534,0.205479452,5.866302865
Knowsley,E08000011,localAuthority,201718,Primary,1.396648045,2.402234637,0,12.94444444
Lancashire,E10000017,localAuthority,201718,Primary,1.628737171,2.439387178,0.200803213,1.311573143
Liverpool,E08000012,localAuthority,201718,Primary,1.418026418,3.108003108,0,3.632478632
Manchester,E08000003,localAuthority,201718,Primary,1.940655323,2.685979468,0,4.598509352
Oldham,E08000004,localAuthority,201718,Primary,0.864649152,3.159294978,0,1.034259858
Rochdale,E08000005,localAuthority,201718,Primary,1.907356948,3.678474114,0.034059946,1.942078365
Salford,E08000006,localAuthority,201718,Primary,1.271600913,3.814802739,0.097815455,2.023498695
Sefton,E08000014,localAuthority,201718,Primary,1.048218029,2.236198463,0.139762404,2.309307208
St. Helens,E08000013,localAuthority,201718,Primary,1.839303001,2.952565344,0,3.146176186
Stockport,E08000007,localAuthority,201718,Primary,1.936459909,3.025718608,0,1.14492317
Tameside,E08000008,localAuthority,201718,Primary,1.371841155,2.454873646,0,2.671480144
Trafford,E08000009,localAuthority,201718,Primary,1.408959538,0.939306358,0,2.565028902
Warrington,E06000007,localAuthority,201718,Primary,1.403368083,2.165196472,0,0.561347233
Wigan,E08000010,localAuthority,201718,Primary,1.556852933,2.251876564,0.027800945,2.614015573
Wirral,E08000015,localAuthority,201718,Primary,1.95585359,3.241128807,0,0.335289187
Barnsley,E08000016,localAuthority,201718,Primary,0.767263427,2.301790281,0,1.644135915
Bradford,E08000032,localAuthority,201718,Primary,1.434893389,2.105404318,0.013410219,2.561695279
Calderdale,E08000033,localAuthority,201718,Primary,1.157981803,1.11662531,0.041356493,0.951199338
Doncaster,E08000017,localAuthority,201718,Primary,0.374765771,1.561524047,0.031230481,1.030927835
East Riding of Yorkshire,E06000011,localAuthority,201718,Primary,0.062460962,0.749531543,0,0.780762024
Kirklees,E08000034,localAuthority,201718,Primary,1.530912659,1.707556428,0,2.082522382
Leeds,E08000035,localAuthority,201718,Primary,2.119805948,2.77367644,0,0.611685298
North East Lincolnshire,E06000012,localAuthority,201718,Primary,0.169300226,0.902934537,0,1.015801354
North Lincolnshire,E06000013,localAuthority,201718,Primary,0.518134715,1.813471503,0,1.295336788
North Yorkshire,E10000023,localAuthority,201718,Primary,0.285001781,0.961881012,0,1.3671875
Rotherham,E08000018,localAuthority,201718,Primary,0.428054001,1.317089233,0,1.21830754
Sheffield,E08000019,localAuthority,201718,Primary,1.160285099,1.839880656,0,1.077407592
Wakefield,E08000036,localAuthority,201718,Primary,0.640683396,2.028830753,0,1.747418586
York,E06000014,localAuthority,201718,Primary,1.473577236,0.050813008,1.168699187,1.028277635
"Kingston Upon Hull, City of",E06000010,localAuthority,201718,Primary,0.636556532,2.485601697,0,4.183085784
Derby,E06000015,localAuthority,201718,Primary,1.496338746,2.801655524,0.095510984,2.619949495
Derbyshire,E10000007,localAuthority,201718,Primary,0.474176599,0.346020761,0.704857106,2.721878225
Leicester,E06000016,localAuthority,201718,Primary,1.142857143,3.868131868,0,5.912087912
Leicestershire,E10000018,localAuthority,201718,Primary,1.021817178,0,2.526926263,1.402464938
Lincolnshire,E10000019,localAuthority,201718,Primary,0.732942431,0.999466951,0,1.319296375
Northamptonshire,E10000021,localAuthority,201718,Primary,1.46548831,2.338069135,0,1.286497371
Nottingham,E06000018,localAuthority,201718,Primary,1.888828926,2.833243389,0.02698327,6.018893387
Nottinghamshire,E10000024,localAuthority,201718,Primary,1.126379815,1.847262897,0,2.162649245
Rutland,E06000017,localAuthority,201718,Primary,0,0.262467192,1.57480315,4.533333333
Birmingham,E08000025,localAuthority,201718,Primary,2.443373176,3.466948425,0.046225979,3.077939234
Coventry,E08000026,localAuthority,201718,Primary,1.136632726,1.515510301,0,1.870708027
Dudley,E08000027,localAuthority,201718,Primary,1.048218029,2.961215933,0,3.585246324
Herefordshire,E06000019,localAuthority,201718,Primary,0.595560368,0,2.490525176,1.11049417
Sandwell,E08000028,localAuthority,201718,Primary,1.412803532,4.194260486,0.022075055,4.986760812
Shropshire,E06000051,localAuthority,201718,Primary,0.359195402,1.077586207,0,2.478448276
Solihull,E08000029,localAuthority,201718,Primary,2.310101801,3.328112764,0.313234143,2.435192459
Staffordshire,E10000028,localAuthority,201718,Primary,0.840800974,1.72585463,0,2.030456853
Stoke-on-Trent,E06000021,localAuthority,201718,Primary,1.180289171,3.334316908,0,6.637168142
Telford and Wrekin,E06000020,localAuthority,201718,Primary,1.120448179,3.734827264,0,1.680672269
Walsall,E08000030,localAuthority,201718,Primary,1.071532001,4.083405734,0.318563568,4.36416185
Warwickshire,E10000031,localAuthority,201718,Primary,1.372705507,3.192338388,0.063846768,1.452977806
Wolverhampton,E08000031,localAuthority,201718,Primary,2.211838006,3.831775701,0,4.579439252
Worcestershire,E10000034,localAuthority,201718,Primary,1.028739386,2.008491182,0.391900718,2.459016393
Bedford,E06000055,localAuthority,201718,Primary,1.156626506,0.578313253,0.385542169,1.596516691
Cambridgeshire,E10000003,localAuthority,201718,Primary,0.904652499,1.550832855,0.014359563,1.019675427
Central Bedfordshire,E06000056,localAuthority,201718,Primary,0.620200827,0.826934436,0.561134082,3.534303534
Essex,E10000012,localAuthority,201718,Primary,1.802135407,1.808307104,0.006171697,1.425749907
Hertfordshire,E10000015,localAuthority,201718,Primary,2.660938258,2.841105952,0.297969649,1.529051988
Luton,E06000032,localAuthority,201718,Primary,1.06075217,1.735776278,0.032144005,3.279742765
Norfolk,E10000020,localAuthority,201718,Primary,0.837808808,2.255639098,0.085929108,1.266094421
Peterborough,E06000031,localAuthority,201718,Primary,0.856836844,2.177793645,0,0.928239914
Southend-on-Sea,E06000033,localAuthority,201718,Primary,1.199040767,1.582733813,0,1.870503597
Suffolk,E10000029,localAuthority,201718,Primary,0.842276865,1.589457954,0,1.616628176
Thurrock,E06000034,localAuthority,201718,Primary,0.750883392,1.192579505,0.265017668,2.922940655
Bracknell Forest,E06000036,localAuthority,201718,Primary,1.606145251,1.815642458,0,3.770949721
Brighton and Hove,E06000043,localAuthority,201718,Primary,1.7186251,1.318944844,0,0.479616307
