location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Darlington,E06000005,localAuthority,201718,Secondary,2.852049911,8.199643494,0,1.426024955
Durham,E06000047,localAuthority,201718,Secondary,0.454357703,1.383725733,0.082610492,4.161516275
Gateshead,E08000020,localAuthority,201718,Secondary,0.742311771,2.067868505,0.106044539,3.138075314
Hartlepool,E06000001,localAuthority,201718,Secondary,0.438596491,1.666666667,0,0.520833333
Middlesbrough,E06000002,localAuthority,201718,Secondary,2.464183381,3.839541547,0.05730659,13.63893605
Newcastle upon Tyne,E08000021,localAuthority,201718,Secondary,1.875901876,3.03030303,0,2.260702261
North Tyneside,E08000022,localAuthority,201718,Secondary,0.646678424,2.821869489,0.646678424,5.89953271
Northumberland,E06000048,localAuthority,201718,Secondary,0,0,0.633713561,0.637755102
Redcar and Cleveland,E06000003,localAuthority,201718,Secondary,0.946585531,1.487491548,0.135226504,1.928191489
South Tyneside,E08000023,localAuthority,201718,Secondary,1.841359773,1.487252125,3.116147309,0.978336827
Stockton-on-Tees,E06000004,localAuthority,201718,Secondary,1.909090909,1.545454545,0.5,2.574525745
Sunderland,E08000024,localAuthority,201718,Secondary,0.94855892,0,2.553812477,3.406963684
Blackburn with Darwen,E06000008,localAuthority,201718,Secondary,3.804627249,4.935732648,0,7.403598972
Blackpool,E06000009,localAuthority,201718,Secondary,3.182461103,4.101838755,0,17.48107364
Bolton,E08000001,localAuthority,201718,Secondary,3.493571828,4.946897708,0.027948575,2.51173061
Bury,E08000002,localAuthority,201718,Secondary,2.713704206,5.92492085,1.040253279,9.136137494
Cheshire East,E06000049,localAuthority,201718,Secondary,0.311931375,2.157525344,0.103977125,4.501691387
Cheshire West and Chester,E06000050,localAuthority,201718,Secondary,0.613317757,1.635514019,0.058411215,6.516656926
Cumbria,E10000006,localAuthority,201718,Secondary,0.732217573,1.987447699,0.062761506,0.188402763
Halton,E06000006,localAuthority,201718,Secondary,0.466666667,1.466666667,0,3.344262295
Knowsley,E08000011,localAuthority,201718,Secondary,3.091013165,3.377218088,0,41.08967083
Lancashire,E10000017,localAuthority,201718,Secondary,2.094526201,3.706299151,0.163513198,3.470597411
Liverpool,E08000012,localAuthority,201718,Secondary,6.080634501,7.644855695,0,5.155320555
Manchester,E08000003,localAuthority,201718,Secondary,4.427986133,8.05231642,0,12.81121967
Oldham,E08000004,localAuthority,201718,Secondary,3.609625668,8.856951872,0,5.314322748
Rochdale,E08000005,localAuthority,201718,Secondary,0.62707488,1.549243821,0,8.33640723
Salford,E08000006,localAuthority,201718,Secondary,2.943548387,7.338709677,0,11.37096774
Sefton,E08000014,localAuthority,201718,Secondary,0.444444444,2.222222222,0.185185185,4.322766571
St. Helens,E08000013,localAuthority,201718,Secondary,0.152284264,0.659898477,0,10.69979716
Stockport,E08000007,localAuthority,201718,Secondary,2.512077295,4.347826087,0.064412238,6.728612624
Tameside,E08000008,localAuthority,201718,Secondary,2.140443109,5.031918888,0.037551633,6.574004508
Trafford,E08000009,localAuthority,201718,Secondary,4.516346478,2.359285474,0.37074486,7.255098629
Warrington,E06000007,localAuthority,201718,Secondary,1.249461439,2.498922878,0.043084877,2.835378756
Wigan,E08000010,localAuthority,201718,Secondary,0.403923832,0.807847663,0.115406809,5.199306759
Wirral,E08000015,localAuthority,201718,Secondary,2.014968336,4.231433506,0,3.595696489
Barnsley,E08000016,localAuthority,201718,Secondary,0.41322314,1.198347107,0,8.966942149
Bradford,E08000032,localAuthority,201718,Secondary,4.219126708,6.897937316,0.040182159,10.08977623
Calderdale,E08000033,localAuthority,201718,Secondary,3.407290016,3.407290016,0,2.989771833
Doncaster,E08000017,localAuthority,201718,Secondary,0.673076923,2.179487179,0,4.038461538
East Riding of Yorkshire,E06000011,localAuthority,201718,Secondary,0.25502072,1.243226012,0.06375518,7.464114833
Kirklees,E08000034,localAuthority,201718,Secondary,2.255319149,3.042553191,0.042553191,7.508460237
Leeds,E08000035,localAuthority,201718,Secondary,2.379521692,3.136642231,0,5.107559188
North East Lincolnshire,E06000012,localAuthority,201718,Secondary,0.886001181,1.476668636,0,5.847607797
North Lincolnshire,E06000013,localAuthority,201718,Secondary,0.736454498,2.577590742,0,4.809200209
North Yorkshire,E10000023,localAuthority,201718,Secondary,1.041847543,2.170515715,0.017364126,5.053908356
Rotherham,E08000018,localAuthority,201718,Secondary,0.639515315,1.783911141,0,1.413665433
Sheffield,E08000019,localAuthority,201718,Secondary,2.0023757,3.784150687,0,5.124724249
Wakefield,E08000036,localAuthority,201718,Secondary,0.464037123,1.711136891,0,1.606425703
York,E06000014,localAuthority,201718,Secondary,1.023155627,0.053850296,1.938610662,3.514552444
"Kingston Upon Hull, City of",E06000010,localAuthority,201718,Secondary,2.21402214,6.239516941,0.06709158,7.98925814
Derby,E06000015,localAuthority,201718,Secondary,3.880494505,6.009615385,0.343406593,5.519053876
Derbyshire,E10000007,localAuthority,201718,Secondary,0.368469535,0.526385051,0.500065798,7.059756742
Leicester,E06000016,localAuthority,201718,Secondary,2.1875,5.745192308,0,13.10096154
Leicestershire,E10000018,localAuthority,201718,Secondary,0.53361793,0,2.241195304,4.475982533
Lincolnshire,E10000019,localAuthority,201718,Secondary,1.176627891,2.647412756,0,4.171680706
Northamptonshire,E10000021,localAuthority,201718,Secondary,2.917940877,4.204892966,0.0254842,4.002039256
Nottingham,E06000018,localAuthority,201718,Secondary,3.685503686,5.251842752,0.245700246,14.60639606
Nottinghamshire,E10000024,localAuthority,201718,Secondary,0.501552424,2.006209697,0,6.794841175
Rutland,E06000017,localAuthority,201718,Secondary,0.285714286,2,0.285714286,8.595988539
Birmingham,E08000025,localAuthority,201718,Secondary,6.144352026,6.372417494,0.516501207,10.5724496
Coventry,E08000026,localAuthority,201718,Secondary,3.138075314,5.413179916,0,4.837866109
Dudley,E08000027,localAuthority,201718,Secondary,1.898364486,2.424065421,0.496495327,12.07897793
Herefordshire,E06000019,localAuthority,201718,Secondary,0.119760479,0,1.556886228,4.622871046
Sandwell,E08000028,localAuthority,201718,Secondary,4.582146249,6.433998101,0.094966762,14.11261582
Shropshire,E06000051,localAuthority,201718,Secondary,0.263455024,0.752728641,0,5.83364697
Solihull,E08000029,localAuthority,201718,Secondary,4.233226837,4.033546326,0.559105431,10.44176707
Staffordshire,E10000028,localAuthority,201718,Secondary,1.420493725,1.834229761,0,8.882560347
Stoke-on-Trent,E06000021,localAuthority,201718,Secondary,1.055223356,2.708406613,0,15.13793103
Telford and Wrekin,E06000020,localAuthority,201718,Secondary,2.268145161,4.183467742,0,7.358870968
Walsall,E08000030,localAuthority,201718,Secondary,3.959208158,5.548890222,0.359928014,14.13904371
Warwickshire,E10000031,localAuthority,201718,Secondary,3.339580849,3.373658204,0.954165957,3.741846893
Wolverhampton,E08000031,localAuthority,201718,Secondary,4.766875435,3.862212944,0.139178845,10.27874564
Worcestershire,E10000034,localAuthority,201718,Secondary,0.841852075,2.375225496,0.300661455,9.680337756
Bedford,E06000055,localAuthority,201718,Secondary,0.102669405,0.205338809,0.924024641,0.414507772
Cambridgeshire,E10000003,localAuthority,201718,Secondary,0.759750127,2.144183691,0.067533345,5.473897618
Central Bedfordshire,E06000056,localAuthority,201718,Secondary,0.053304904,0.479744136,0.26652452,5.879208979
Essex,E10000012,localAuthority,201718,Secondary,2.113089415,1.910911107,0,6.671449067
Hertfordshire,E10000015,localAuthority,201718,Secondary,3.70398773,5.168711656,0.13803681,3.271386884
Luton,E06000032,localAuthority,201718,Secondary,3.176748902,4.798918554,0.033795201,5.170665765
Norfolk,E10000020,localAuthority,201718,Secondary,0.255071056,1.530426333,0.085023685,1.833636916
Peterborough,E06000031,localAuthority,201718,Secondary,1.661695782,2.087771623,0.213037921,4.654141759
