lsoa11,msoa11,lsoa_Q_1014,msoa_Q_1014,difference_msoa_lsoa
E01000001,E02000001,,5,
E01000002,E02000001,,5,
E01000003,E02000001,,5,
E01000005,E02000001,4,5,1
E01032739,E02000001,,5,
E01032740,E02000001,,5,
E01000027,E02000002,1,2,1
E01000028,E02000002,3,2,-1
E01000029,E02000002,3,2,-1
E01000030,E02000002,2,2,0
E01000031,E02000003,4,4,0
E01000032,E02000003,2,4,2
E01000110,E02000003,5,4,-1
E01000111,E02000003,4,4,0
E01000112,E02000003,4,4,0
E01000113,E02000003,5,4,-1
E01000034,E02000004,2,3,1
E01000037,E02000004,3,3,0
E01000038,E02000004,3,3,0
E01000039,E02000004,3,3,0
E01000063,E02000005,1,3,2
E01000100,E02000005,2,3,1
E01000101,E02000005,2,3,1
E01000109,E02000005,4,3,-1
E01000114,E02000005,4,3,-1
E01000033,E02000007,3,3,0
E01000060,E02000007,3,3,0
E01000061,E02000007,3,3,0
E01000062,E02000007,2,3,1
E01000064,E02000007,3,3,0
E01000065,E02000008,1,3,2
E01000078,E02000008,3,3,0
E01000080,E02000008,4,3,-1
E01000081,E02000008,4,3,-1
E01000082,E02000008,4,3,-1
E01000083,E02000008,3,3,0
E01000102,E02000008,2,3,1
E01000021,E02000009,3,3,0
E01000022,E02000009,3,3,0
E01000023,E02000009,3,3,0
E01000024,E02000009,2,3,1
E01000025,E02000009,3,3,0
E01000077,E02000009,3,3,0
E01000015,E02000010,3,3,0
E01000016,E02000010,2,3,1
E01000017,E02000010,3,3,0
E01000018,E02000010,3,3,0
E01000079,E02000010,3,3,0
E01000035,E02000011,4,4,0
E01000036,E02000011,4,4,0
E01000107,E02000011,3,4,1
E01000108,E02000011,4,4,0
E01000066,E02000012,5,5,0
E01000067,E02000012,5,5,0
E01000069,E02000012,5,5,0
E01000070,E02000012,5,5,0
E01000071,E02000012,5,5,0
E01000057,E02000013,2,3,1
E01000073,E02000013,3,3,0
E01000074,E02000013,4,3,-1
E01000075,E02000013,3,3,0
E01000076,E02000013,3,3,0
E01000013,E02000014,2,2,0
E01000014,E02000014,2,2,0
E01000059,E02000014,2,2,0
E01000084,E02000014,1,2,1
E01000085,E02000014,3,2,-1
E01000086,E02000014,5,2,-3
E01000103,E02000015,3,3,0
E01000104,E02000015,3,3,0
E01000105,E02000015,2,3,1
E01000106,E02000015,2,3,1
E01000007,E02000016,5,5,0
E01000008,E02000016,4,5,1
E01000010,E02000016,5,5,0
E01000012,E02000016,3,5,2
E01000006,E02000017,5,5,0
E01000009,E02000017,5,5,0
E01000011,E02000017,5,5,0
E01000044,E02000017,5,5,0
E01000068,E02000017,5,5,0
E01000041,E02000018,3,3,0
E01000042,E02000018,4,3,-1
E01000045,E02000018,4,3,-1
E01000046,E02000018,3,3,0
E01000072,E02000018,4,3,-1
E01000054,E02000019,2,3,1
E01000055,E02000019,3,3,0
E01000056,E02000019,4,3,-1
E01000058,E02000019,3,3,0
E01000095,E02000019,2,3,1
E01000040,E02000020,4,4,0
E01000043,E02000020,4,4,0
E01000050,E02000020,4,4,0
E01000052,E02000020,4,4,0
E01000092,E02000020,4,4,0
E01000053,E02000021,2,3,1
E01000087,E02000021,2,3,1
E01000088,E02000021,4,3,-1
E01000089,E02000021,2,3,1
E01000090,E02000021,4,3,-1
E01000048,E02000022,5,5,0
E01000049,E02000022,4,5,1
E01000051,E02000022,5,5,0
E01033587,E02000022,5,5,0
E01033588,E02000022,5,5,0
E01000091,E02000023,4,4,0
E01000093,E02000023,3,4,1
E01000094,E02000023,4,4,0
E01000096,E02000023,4,4,0
E01000248,E02000024,5,5,0
E01000249,E02000024,5,5,0
E01000250,E02000024,5,5,0
E01000254,E02000024,5,5,0
E01000292,E02000024,5,5,0
E01000293,E02000024,5,5,0
E01000167,E02000025,3,5,2
E01000246,E02000025,5,5,0
E01000247,E02000025,5,5,0
E01000251,E02000025,5,5,0
E01000252,E02000025,5,5,0
E01000166,E02000026,4,5,1
E01000168,E02000026,5,5,0
E01000169,E02000026,5,5,0
E01000172,E02000026,5,5,0
E01000285,E02000027,4,4,0
E01000287,E02000027,4,4,0
E01000288,E02000027,5,4,-1
E01000289,E02000027,4,4,0
E01000291,E02000027,4,4,0
E01000294,E02000027,5,4,-1
E01000267,E02000028,5,5,0
E01000268,E02000028,4,5,1
E01000269,E02000028,5,5,0
E01000270,E02000028,5,5,0
E01000170,E02000029,4,5,1
E01000171,E02000029,4,5,1
E01000173,E02000029,5,5,0
E01000174,E02000029,4,5,1
E01000175,E02000029,5,5,0
E01000228,E02000030,5,5,0
E01000253,E02000030,5,5,0
E01000279,E02000030,,5,
E01000280,E02000030,5,5,0
E01000286,E02000030,4,5,1
E01000290,E02000030,4,5,1
E01000271,E02000031,5,5,0
E01000272,E02000031,5,5,0
E01000273,E02000031,5,5,0
E01000281,E02000031,5,5,0
E01000282,E02000031,5,5,0
E01000115,E02000032,5,5,0
E01000116,E02000032,5,5,0
E01000119,E02000032,5,5,0
E01000120,E02000032,5,5,0
E01000122,E02000032,5,5,0
E01000117,E02000033,4,5,1
E01000118,E02000033,5,5,0
E01000121,E02000033,4,5,1
E01000123,E02000033,4,5,1
E01000124,E02000033,4,5,1
E01000265,E02000034,5,5,0
E01000266,E02000034,5,5,0
E01000274,E02000034,5,5,0
E01000320,E02000034,5,5,0
E01000322,E02000034,5,5,0
E01000275,E02000035,5,5,0
E01000277,E02000035,5,5,0
E01000283,E02000035,5,5,0
E01000284,E02000035,5,5,0
E01000321,E02000035,5,5,0
E01000195,E02000036,4,5,1
E01000229,E02000036,5,5,0
E01000230,E02000036,5,5,0
E01000231,E02000036,5,5,0
E01000232,E02000036,5,5,0
E01000233,E02000036,5,5,0
E01000186,E02000037,5,5,0
