lsoa11,lsoa_population_1014,lsoa_ypr_0711,lsoa_ypr_0812,lsoa_ypr_0913,lsoa_ypr_1014,lsoa_Q_0711,lsoa_Q_0812,lsoa_Q_0913,lsoa_Q_1014
E01000001,,,,,,,,,
E01000002,,,,,,,,,
E01000003,,,,,,,,,
E01000005,45,44.2,48.8,47.6,51.1,4,4,4,4
E01000006,80,62.7,61.5,62.3,64.1,5,5,5,5
E01000007,65,55.9,62.8,61.1,60.9,5,5,5,5
E01000008,115,44.4,52.8,53.6,52.1,4,5,5,4
E01000009,60,53.5,56.3,60.7,61.3,5,5,5,5
E01000010,105,53.8,51.5,56.7,57.1,5,5,5,5
E01000011,85,48.8,50.6,54.9,58.3,4,4,5,5
E01000012,75,41.4,39.7,36.4,40.3,4,3,3,3
E01000013,110,33.9,34.2,34.5,33.6,3,3,3,2
E01000014,105,28.1,30.5,25,32.7,2,2,1,2
E01000015,130,34.6,37.4,35.5,38.8,3,3,3,3
E01000016,115,30.1,32.7,36.7,35.1,2,2,3,2
E01000017,125,34.8,35.7,37.7,40.7,3,3,3,3
E01000018,110,31.9,33,39,40.9,2,2,3,3
E01000019,95,26,31.2,39.6,38.7,2,2,3,3
E01000020,155,33.8,36.9,39.7,41.6,3,3,3,3
E01000021,110,34.3,38.5,38.5,42.2,3,3,3,3
E01000022,110,31.4,36.4,42.1,42.2,2,3,3,3
E01000023,70,48.4,47.4,47.1,42.6,4,4,4,3
E01000024,90,30.4,30.8,36.2,35.2,2,2,3,2
E01000025,120,40.9,44.3,41.1,40,3,4,3,3
E01000027,125,24.2,19.5,19.7,22,1,1,1,1
E01000028,105,30.7,31.9,35.2,37.1,2,2,3,3
E01000029,80,32.9,33.8,37.3,41,2,3,3,3
E01000030,90,26.4,32.2,29.7,32.6,2,2,2,2
E01000031,120,49.5,47.2,51,50.4,4,4,4,4
E01000032,85,26.7,26.3,29.4,33.7,2,2,2,2
E01000033,95,37.6,38.2,37.1,37.2,3,3,3,3
E01000034,115,33.6,34.5,37.6,35.4,3,3,3,2
E01000035,105,46.9,41.2,46.3,46.6,4,3,4,4
E01000036,105,44.1,45.5,46.8,51.5,4,4,4,4
E01000037,100,35.3,35.3,40.8,37.3,3,3,3,3
E01000038,120,37.8,39.1,37.6,42,3,3,3,3
E01000039,85,34.7,36,40.5,41.4,3,3,3,3
E01000040,85,38.6,43.4,50,51.8,3,4,4,4
E01000041,115,28.3,36.8,39.3,36.5,2,3,3,3
E01000042,90,37.8,40,43.6,44.6,3,3,4,4
E01000043,115,46.5,44.8,47.7,51.3,4,4,4,4
E01000044,115,46.9,49,53.7,57.9,4,4,5,5
E01000045,95,45.7,46.7,42.9,45.3,4,4,4,4
E01000046,165,39.3,40.7,40.3,41.8,3,3,3,3
E01000048,135,41.7,53,57,58.6,4,5,5,5
E01000049,110,41.3,41.7,46.2,51.9,4,4,4,4
E01000050,80,55.4,52.5,54.1,48.8,5,5,5,4
E01000051,90,52.9,55.1,57,54.9,5,5,5,5
E01000052,100,47.4,50.5,45.6,44.4,4,4,4,4
E01000053,85,28.4,33.8,29.8,30.6,2,3,2,2
E01000054,125,26.4,30.9,31.7,32.5,2,2,2,2
E01000055,130,31.3,31.5,34.1,38.9,2,2,2,3
E01000056,95,44.7,48.1,49,46.4,4,4,4,4
E01000057,80,28.4,30.9,29.5,30.9,2,2,2,2
E01000058,110,28.3,33,33.9,37.5,2,2,2,3
E01000059,110,32,29.3,31.4,30.3,2,2,2,2
E01000060,95,43.6,38.1,36.6,39.2,4,3,3,3
E01000061,130,31.3,33.1,36.8,35.7,2,2,3,3
E01000062,105,34,32.3,34,33.7,3,2,2,2
E01000063,105,28.4,28.6,27.6,24,2,2,2,1
E01000064,130,38.7,39.1,40.2,40.2,3,3,3,3
