msoa11,msoa_population_1014,msoa_ypr_1014,msoa_Q_1014
E02000001,75,58.9,5
E02000002,400,32.1,2
E02000003,570,49.6,4
E02000004,420,39,3
E02000005,585,36.5,3
E02000007,555,37.2,3
E02000008,715,40.2,3
E02000009,600,39.7,3
E02000010,590,39.1,3
E02000011,410,45.3,4
E02000012,715,60.6,5
E02000013,540,38.4,3
E02000014,585,35.1,2
E02000015,495,36.9,3
E02000016,365,52.6,5
E02000017,465,62.1,5
E02000018,590,42.8,3
E02000019,580,37.8,3
E02000020,575,48.7,4
E02000021,525,39.4,3
E02000022,455,55.9,5
E02000023,315,47,4
E02000024,490,73.4,5
E02000025,370,58.1,5
E02000026,325,61.1,5
E02000027,655,50.2,4
E02000028,300,63.4,5
E02000029,450,54.1,5
E02000030,365,59.2,5
E02000031,280,67.6,5
E02000032,515,68.8,5
E02000033,495,51.4,5
E02000034,440,62.7,5
E02000035,280,65.2,5
E02000036,630,63.1,5
E02000037,500,62.2,5
E02000038,530,58.9,5
E02000039,300,74.2,5
E02000040,390,65.5,5
E02000041,430,60.3,5
E02000042,370,66.4,5
E02000043,275,74.2,5
E02000044,575,51.9,5
E02000045,565,52.1,5
E02000046,185,69.9,5
E02000047,725,52,5
E02000048,390,71.5,5
E02000049,650,48.8,4
E02000050,485,60,5
E02000051,260,62.5,5
E02000052,340,67.1,5
E02000053,350,56.9,5
E02000054,265,61.9,5
E02000055,350,60.1,5
E02000056,140,70.9,5
E02000057,270,54.2,5
E02000058,205,68.1,5
E02000059,460,57.5,5
E02000060,230,50,4
E02000061,125,65,5
E02000062,385,55.1,5
E02000063,345,64,5
E02000064,205,59.8,5
E02000065,515,57.3,5
E02000066,610,45.2,4
E02000067,535,38.6,3
E02000068,360,42.2,3
E02000069,360,39.5,3
E02000070,505,41.9,3
E02000071,515,35.3,2
E02000072,720,34.5,2
E02000073,720,47.1,4
E02000074,475,33,2
E02000075,425,48.6,4
E02000077,535,43,3
E02000078,455,39.1,3
E02000079,405,51.7,5
E02000080,600,44.3,4
E02000081,440,45,4
E02000082,570,39.5,3
E02000083,605,36.6,3
E02000084,660,49.6,4
E02000085,525,36.4,3
E02000086,465,42.3,3
E02000087,410,57.7,5
E02000088,490,43.6,4
E02000089,480,39.1,3
E02000090,385,48.6,4
E02000091,505,53.1,5
E02000092,360,33.7,2
E02000093,565,67.4,5
E02000094,565,63.3,5
E02000095,515,64.4,5
E02000096,300,74.8,5
E02000097,495,62.1,5
E02000098,430,65,5
E02000099,445,65,5
E02000100,360,72.8,5
E02000101,440,64.2,5
E02000102,480,52.1,5
E02000103,520,55.5,5
E02000104,305,65.8,5
E02000105,450,60.6,5
E02000106,470,57.9,5
E02000107,355,57.5,5
E02000108,320,66.9,5
E02000109,445,55.6,5
E02000110,290,64.4,5
E02000111,455,61.9,5
E02000112,485,58.6,5
E02000113,770,51.8,5
E02000114,295,50.8,4
E02000115,170,58.9,5
E02000116,375,51.5,5
E02000117,720,49.4,4
E02000118,545,56.6,5
E02000119,550,54.9,5
E02000120,205,52,5
E02000121,430,61.6,5
E02000122,250,61.4,5
E02000123,755,49.3,4
E02000124,265,61.4,5
E02000125,335,54.3,5
E02000126,415,51.3,5
E02000127,470,29.5,2
E02000128,380,44.9,4
E02000130,340,52.5,5
E02000131,265,42.3,3
E02000132,190,41.8,3
E02000133,290,64.4,5
E02000134,330,58.9,5
E02000135,510,39.6,3
E02000136,280,44.5,4
E02000137,220,56.4,5
E02000138,185,69.6,5
E02000139,230,48.3,4
E02000140,490,29.3,2
E02000141,335,48.4,4
E02000142,410,58.3,5
E02000144,370,56.2,5
E02000145,485,28.6,1
E02000146,375,56,5
E02000147,475,67.9,5
E02000148,310,57.4,5
E02000149,410,32.6,2
E02000150,620,57.4,5
E02000151,355,54.1,5
E02000152,420,41,3
E02000153,585,52.6,5
E02000154,410,53.5,5
E02000155,355,37,3
E02000156,795,61,5
E02000157,525,56.4,5
E02000158,400,43,3
E02000159,375,49.2,4
E02000160,515,55.2,5
E02000161,495,56.1,5
E02000162,410,45.7,4
E02000163,385,49.7,4
E02000165,460,33.3,2
E02000166,230,46.5,4
E02000167,,,
E02000168,285,55.8,5
E02000169,65,41.8,3
E02000170,135,59.6,5
