msoa11,total_pop,progression_rate,quintile
E02000001,80,0.65,5
E02000002,435,0.38,2
E02000003,600,0.503,4
E02000004,405,0.375,2
E02000005,600,0.403,3
E02000007,570,0.429,3
E02000008,720,0.417,3
E02000009,610,0.458,4
E02000010,625,0.426,3
E02000011,415,0.436,3
E02000012,715,0.625,5
E02000013,545,0.433,3
E02000014,590,0.405,3
E02000015,495,0.43,3
E02000016,405,0.574,5
E02000017,480,0.627,5
E02000018,610,0.444,3
E02000019,560,0.422,3
E02000020,650,0.499,4
E02000021,515,0.435,3
E02000022,485,0.598,5
E02000023,370,0.492,4
E02000024,500,0.719,5
E02000025,340,0.625,5
E02000026,355,0.629,5
E02000027,660,0.535,5
E02000028,275,0.606,5
E02000029,460,0.581,5
E02000030,385,0.612,5
E02000031,265,0.679,5
E02000032,525,0.712,5
E02000033,520,0.551,5
E02000034,430,0.687,5
E02000035,290,0.651,5
E02000036,645,0.645,5
E02000037,505,0.617,5
E02000038,555,0.619,5
E02000039,340,0.718,5
E02000040,345,0.695,5
E02000041,460,0.61,5
E02000042,410,0.7,5
E02000043,255,0.763,5
E02000044,560,0.544,5
E02000045,565,0.565,5
E02000046,205,0.707,5
E02000047,720,0.569,5
E02000048,385,0.684,5
E02000049,670,0.501,4
E02000050,470,0.65,5
E02000051,270,0.705,5
E02000052,345,0.682,5
E02000053,415,0.606,5
E02000054,265,0.663,5
E02000055,355,0.569,5
E02000056,150,0.673,5
E02000057,285,0.58,5
E02000058,250,0.675,5
E02000059,440,0.62,5
E02000060,240,0.438,3
E02000061,115,0.649,5
E02000062,375,0.563,5
E02000063,340,0.633,5
E02000064,225,0.585,5
E02000065,520,0.586,5
E02000066,600,0.479,4
E02000067,515,0.426,3
E02000068,385,0.455,4
E02000069,345,0.378,2
E02000070,470,0.456,4
E02000071,500,0.379,2
E02000072,760,0.394,3
E02000073,725,0.477,4
E02000074,495,0.37,2
E02000075,425,0.483,4
E02000077,505,0.408,3
E02000078,445,0.406,3
E02000079,405,0.544,5
E02000080,590,0.446,3
E02000081,420,0.465,4
E02000082,565,0.43,3
E02000083,620,0.417,3
E02000084,630,0.498,4
E02000085,475,0.365,2
E02000086,460,0.436,3
E02000087,425,0.561,5
E02000088,485,0.459,4
E02000089,470,0.421,3
E02000090,370,0.489,4
E02000091,485,0.549,5
E02000092,385,0.326,2
E02000093,595,0.692,5
E02000094,525,0.639,5
E02000095,485,0.632,5
E02000096,295,0.791,5
E02000097,500,0.614,5
E02000098,420,0.633,5
E02000099,445,0.699,5
E02000100,355,0.728,5
E02000101,470,0.641,5
E02000102,535,0.549,5
E02000103,565,0.575,5
E02000104,315,0.658,5
E02000105,490,0.645,5
E02000106,525,0.579,5
E02000107,370,0.584,5
E02000108,350,0.702,5
E02000109,460,0.571,5
E02000110,265,0.633,5
E02000111,520,0.655,5
E02000112,515,0.623,5
E02000113,770,0.552,5
E02000114,300,0.585,5
E02000115,170,0.604,5
E02000116,415,0.564,5
E02000117,715,0.524,4
E02000118,600,0.582,5
E02000119,575,0.561,5
E02000120,225,0.54,5
E02000121,480,0.561,5
E02000122,270,0.644,5
E02000123,740,0.523,4
E02000124,250,0.601,5
E02000125,350,0.547,5
E02000126,440,0.564,5
E02000127,460,0.329,2
E02000128,355,0.438,3
E02000130,330,0.539,5
E02000131,255,0.457,4
E02000132,185,0.454,4
E02000133,275,0.65,5
E02000134,345,0.612,5
E02000135,475,0.476,4
E02000136,270,0.507,4
E02000137,210,0.608,5
E02000138,180,0.642,5
E02000139,205,0.532,5
E02000140,505,0.284,1
E02000141,315,0.532,5
E02000142,415,0.6,5
E02000144,365,0.596,5
E02000145,465,0.334,2
E02000146,400,0.584,5
E02000147,470,0.697,5
E02000148,280,0.609,5
E02000149,430,0.383,3
E02000150,640,0.562,5
E02000151,320,0.582,5
E02000152,440,0.431,3
E02000153,590,0.557,5
E02000154,410,0.554,5
E02000155,365,0.382,2
E02000156,760,0.621,5
E02000157,500,0.585,5
E02000158,400,0.446,3
E02000159,380,0.499,4
E02000160,535,0.538,5
E02000161,480,0.581,5
E02000162,410,0.48,4
E02000163,350,0.51,4
E02000165,435,0.362,2
E02000166,235,0.506,4
E02000167,60,0.655,5
E02000168,270,0.605,5
E02000169,60,0.532,5
E02000170,135,0.603,5
E02000171,235,0.573,5
E02000172,490,0.463,4
E02000173,70,0.514,4
E02000174,335,0.533,5
E02000175,165,0.608,5
E02000176,,,
E02000177,415,0.502,4
E02000178,235,0.59,5
E02000179,200,0.616,5
E02000180,290,0.439,3
E02000181,130,0.523,4
E02000182,155,0.586,5
E02000183,180,0.558,5
E02000184,405,0.521,4
E02000185,360,0.603,5
E02000186,135,0.522,4
E02000187,450,0.569,5
E02000188,345,0.528,4
E02000189,225,0.576,5
E02000190,140,0.593,5
E02000191,,,
E02000192,265,0.609,5
E02000193,95,0.649,5
E02000194,325,0.529,4
E02000195,480,0.596,5
E02000196,430,0.51,4
E02000197,460,0.595,5
E02000198,500,0.438,3
E02000199,575,0.502,4
E02000200,415,0.531,5
E02000201,385,0.426,3
E02000202,500,0.602,5
E02000203,405,0.533,5
E02000204,595,0.611,5
E02000206,540,0.493,4
E02000207,615,0.439,3
E02000208,570,0.552,5
E02000209,570,0.587,5
E02000210,450,0.498,4
E02000211,420,0.477,4
E02000212,555,0.558,5
E02000213,485,0.446,3
E02000214,345,0.536,5
E02000215,310,0.469,4
E02000216,125,0.613,5
E02000217,465,0.509,4
E02000218,450,0.461,4
E02000219,385,0.551,5
E02000220,225,0.463,4
E02000221,580,0.483,4
E02000222,255,0.545,5
E02000223,650,0.356,2
E02000224,310,0.563,5
E02000225,585,0.327,2
E02000226,345,0.52,4
E02000227,670,0.395,3
E02000228,310,0.641,5
E02000229,395,0.32,2
E02000230,450,0.624,5
E02000231,410,0.659,5
E02000232,370,0.433,3
E02000233,315,0.462,4
E02000234,425,0.487,4
E02000235,440,0.493,4
E02000236,470,0.492,4
E02000237,405,0.494,4
E02000238,570,0.601,5
E02000239,440,0.697,5
E02000240,630,0.517,4
E02000241,365,0.567,5
E02000242,390,0.662,5
E02000243,410,0.589,5
E02000244,345,0.65,5
E02000245,475,0.489,4
E02000246,630,0.541,5
E02000247,620,0.566,5
E02000248,200,0.56,5
E02000249,450,0.64,5
E02000250,175,0.792,5
E02000251,470,0.69,5
E02000252,410,0.583,5
E02000253,605,0.548,5
E02000254,565,0.672,5
E02000255,450,0.648,5
E02000256,170,0.708,5
E02000257,185,0.62,5
E02000258,270,0.599,5
E02000259,380,0.648,5
E02000260,445,0.612,5
E02000261,455,0.604,5
E02000262,325,0.576,5
E02000263,725,0.577,5
E02000264,185,0.703,5
E02000265,425,0.651,5
E02000266,840,0.599,5
E02000267,290,0.634,5
E02000268,295,0.608,5
E02000269,250,0.769,5
E02000270,420,0.602,5
E02000271,100,0.724,5
E02000272,310,0.71,5
E02000274,905,0.564,5
E02000275,390,0.637,5
E02000276,190,0.704,5
E02000277,490,0.495,4
E02000278,660,0.521,4
E02000279,835,0.533,5
E02000280,450,0.564,5
E02000281,525,0.454,4
E02000282,635,0.485,4
E02000283,690,0.52,4
E02000284,405,0.552,5
E02000285,460,0.572,5
E02000286,295,0.685,5
E02000287,230,0.681,5
E02000288,795,0.554,5
E02000289,430,0.643,5
E02000290,445,0.538,5
E02000291,420,0.547,5
E02000292,570,0.531,5
E02000293,295,0.687,5
E02000294,635,0.543,5
E02000295,415,0.627,5
E02000296,455,0.607,5
E02000297,500,0.583,5
E02000298,370,0.72,5
E02000299,670,0.507,4
E02000300,575,0.569,5
E02000301,685,0.533,5
E02000302,475,0.622,5
E02000303,595,0.544,5
E02000304,360,0.778,5
E02000305,340,0.67,5
E02000306,645,0.549,5
E02000307,630,0.586,5
E02000308,360,0.555,5
E02000309,695,0.505,4
E02000311,605,0.59,5
E02000312,375,0.584,5
E02000313,425,0.498,4
E02000314,760,0.563,5
E02000315,655,0.485,4
E02000316,380,0.497,4
E02000317,480,0.483,4
E02000318,590,0.532,5
E02000319,515,0.492,4
E02000320,395,0.506,4
E02000321,420,0.429,3
E02000323,620,0.526,4
E02000324,385,0.496,4
E02000326,310,0.523,4
E02000327,405,0.499,4
E02000328,145,0.531,5
E02000329,375,0.461,4
E02000331,390,0.459,4
