,LA code,Ofsted Avg,lonely_avg,KS2 metrics PCA,GDHI income index,LA flow rate,All Ages,meds,old%,young%,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees,progression_rate,total_pop,Unnamed: 0,"Average Rainfall (June, mm)"
0,E06000001,3.0,-0.5427612888784745,-22376.05413895384,,0.0063857921499908,7819.666666666667,40.91465421415329,0.1924251913134703,0.2911512385949429,0.187969925,0.37593985,0.0,0.8272058820000001,0.438596491,1.666666667,0.0,0.520833333,25.7971205,29.545,89.83099999999999,7.240653,75.0,53.400000000000006,0.3893333333333333,5480.0,74.0,88.6
1,E06000002,2.955555555555556,1.316154662001808,-16308.990169305189,,0.0090870953291761,7472.833333333333,38.02296492069981,0.1733236146278622,0.3256158140684925,1.511335013,2.770780856,0.100755668,2.695956066,2.464183381,3.839541547,0.05730659,13.63893605,24.18982436,36.743,90.881,17.357523699999998,78.3,46.1,0.4139473684210526,7890.0,75.0,94.0
2,E06000003,2.7916666666666665,0.6492659247524394,-18159.719121706472,76.2,0.0066100511010624,7222.526315789473,44.31592560788675,0.227441976835674,0.2725328920629762,0.263331139,0.526662278,0.0,1.371652515,0.946585531,1.487491548,0.135226504,1.928191489,17.97113327,23.263,86.907,26.902558,58.20000000000001,23.0,0.3744210526315789,7550.0,76.0,89.0
3,E06000004,3.085714285714286,0.635474494702919,-11390.33647471165,79.3,0.00653478347168,8225.791666666666,41.91437943343715,0.1983210677294778,0.2821871888660825,0.672268908,0.504201681,0.084033613,1.04427736,1.909090909,1.545454545,0.5,2.574525745,16.43831262,22.014,81.56,12.7347978,71.0,22.7,0.4273333333333333,10385.0,77.0,66.6
4,E06000005,2.8947368421052637,0.967079455657258,-22128.62643563443,82.8,0.0071934328189793,7160.133333333333,42.79504812025278,0.2044869661490365,0.277309435365444,0.356824264,1.33809099,0.0,0.71237756,2.852049911,8.199643494,0.0,1.426024955,16.55899561,23.524,82.458,6.1762708,71.2,35.8,0.3905333333333333,5635.0,95.0,71.2
5,E06000006,2.901639344262295,-0.561738971461398,-20332.33911079568,,0.0060033700380108,8109.9375,40.817903225602606,0.1893753340654331,0.294508341513346,1.369863014,3.424657534,0.205479452,5.866302865,0.466666667,1.466666667,0.0,3.344262295,26.10328156,21.688999999999997,90.774,10.9706405,68.5,44.99999999999999,0.374375,7135.0,116.0,112.5
6,E06000007,3.189873417721519,0.1198035324209876,-12615.781889383212,98.5,0.0050309006981268,8375.88,43.22405177226191,0.1986776578982816,0.275404146872013,1.403368083,2.165196472,0.0,0.561347233,1.249461439,2.498922878,0.043084877,2.835378756,10.9932915,39.53099999999999,87.766,2.4819285,76.1,47.8,0.44536,11660.0,117.0,50.7
7,E06000008,2.935064935064935,-0.6547419701582997,-15969.891271330373,67.3,0.0079517651170919,8335.0,37.21113106605277,0.1506096378012633,0.3385646112182736,2.344894968,3.566194431,0.0,3.712750366,3.8046272490000006,4.935732648,0.0,7.403598972,15.19591642,20.973,89.454,3.3464713,86.7,35.400000000000006,0.4653333333333333,8990.0,129.0,102.2
8,E06000009,3.0232558139534884,-0.4719562069533489,-19457.13904125465,76.2,0.0113462500893687,7283.210526315789,42.85342282695942,0.2029173264568146,0.2865517099618846,1.026957638,1.283697047,0.0,3.2092426189999994,3.182461103,4.101838755,0.0,17.48107364,25.52116235,24.507,86.81099999999999,22.3749401,71.6,47.6,0.3788947368421052,7610.0,130.0,62.5
9,E06000010,3.013157894736842,-0.4659581244909339,-4770.902001419695,69.0,0.0057236461006701,8097.6875,36.94646160928529,0.1597761124926021,0.3193547359737866,0.636556532,2.485601697,0.0,4.183085784,2.21402214,6.239516941,0.06709158,7.98925814,22.46175756,24.234,87.18599999999999,11.4939657,70.6,42.50000000000001,0.31746875,13030.0,78.0,69.6
10,E06000011,2.98581560283688,-1.090588172954776,-4941.681652427293,96.1,0.006371631155324,7981.418604651163,49.00701588913312,0.2658467738398115,0.2417824042798808,0.062460962,0.749531543,0.0,0.780762024,0.25502072,1.243226012,0.06375518,7.464114833,11.81553036,26.685,86.05000000000001,7.4988972,87.8,44.8,0.4371162790697674,17200.0,79.0,86.0
11,E06000012,3.0,-0.7818582895480646,-17646.557588490272,,0.0058125711711486,6928.869565217391,42.22484500023272,0.2075706554263899,0.2852088910625689,0.169300226,0.902934537,0.0,1.015801354,0.886001181,1.476668636,0.0,5.847607797,15.862300309999998,29.364,88.533,17.3618463,58.5,51.89999999999999,0.3368695652173913,8835.0,80.0,88.8
12,E06000013,3.073170731707317,-0.545969433988288,-17895.817414191417,79.3,0.0056861302789356,7510.782608695652,44.28148595599684,0.2175862617565882,0.2711480338594333,0.518134715,1.813471503,0.0,1.295336788,0.736454498,2.577590742,0.0,4.809200209,13.7340993,37.481,90.891,10.679811,68.30000000000001,38.7,0.3594782608695652,9195.0,81.0,123.6
13,E06000014,3.0625,-0.2108217021368502,-17371.200406009077,94.5,0.0049240258835624,8792.166666666666,39.90567334136421,0.19802189094444,0.3121610280759795,1.473577236,0.050813008,1.168699187,1.028277635,1.023155627,0.053850296,1.938610662,3.514552444,7.633047716000001,28.884,73.57400000000001,1.9882297,73.0,50.2,0.4634166666666666,8350.0,83.0,89.2
14,E06000015,2.8433734939759034,-1.279646820479617,-9513.923487713606,77.6,0.0080378471330641,8284.322580645161,38.61214120705045,0.1748900590539532,0.322696294170245,1.496338746,2.801655524,0.095510984,2.619949495,3.8804945050000006,6.009615385,0.343406593,5.519053876,15.90561756,18.248000000000008,87.104,15.0708802,83.7,42.2,0.3559354838709677,13345.0,90.0,91.6
15,E06000016,2.923809523809524,-0.7656396602020562,3665.092493367438,64.6,0.0083752899247609,9568.54054054054,33.33429156953692,0.1290453573623987,0.3727325202235069,1.142857143,3.868131868,0.0,5.912087912,2.1875,5.745192308,0.0,13.10096154,15.57613535,21.717,84.42,3.7688442,84.0,37.5,0.4226756756756756,18925.0,102.0,95.5
16,E06000017,3.260869565217391,0.3559908325479803,-29343.410947042208,,0.0164412018037189,8095.2,47.11400747329901,0.2557445852295847,0.2479593600193043,0.0,0.262467192,1.57480315,4.533333333,0.285714286,2.0,0.285714286,8.595988539,4.685264664,4.808000000000012,79.208,5.3648069,66.7,12.3,0.4519999999999999,1445.0,103.0,89.9
17,E06000018,2.97979797979798,-0.9155720657820736,669.9490687378028,62.3,0.0081954017052996,8871.0,33.24898492886449,0.1285235092347025,0.3851181228080951,1.888828926,2.833243389,0.0269832699999999,6.018893387,3.685503686,5.251842752,0.245700246,14.606396059999998,23.05700609,26.989000000000008,85.004,12.0602558,79.89999999999999,41.400000000000006,0.3210526315789473,14115.0,132.0,63.9
18,E06000019,3.147058823529412,-0.340424154883256,-17376.879118294863,96.2,0.0059673054475217,8418.04347826087,46.86194576839375,0.2514342959700174,0.2487012935739881,0.595560368,0.0,2.490525176,1.11049417,0.119760479,0.0,1.556886228,4.622871046,8.264708379,20.746,83.917,7.23589,85.2,43.50000000000001,0.3775217391304348,8870.0,124.0,100.3
19,E06000020,3.0294117647058822,-0.0312030431301065,-14729.62416961826,81.0,0.0068214919666833,7883.565217391304,40.473739145897824,0.1827968102181085,0.3078561609879781,1.120448179,3.734827264,0.0,1.6806722690000002,2.268145161,4.183467742,0.0,7.358870968000001,14.87921062,24.863000000000003,77.376,7.211043200000001,55.1,24.2,0.3640869565217391,9580.0,134.0,105.0
20,E06000021,2.847058823529412,-0.2068210368116606,-5905.957468759446,72.0,0.0073694680042916,7547.705882352941,39.07224131858252,0.1794661907046456,0.3123311034039773,1.180289171,3.334316908,0.0,6.637168141999999,1.055223356,2.708406613,0.0,15.13793103,20.10248126,21.436999999999998,90.579,12.4990434,67.30000000000001,35.6,0.3397941176470588,13080.0,105.0,100.8
21,E06000022,2.9166666666666665,0.7804356322465578,-18924.507235144687,,0.006842345159478,7272.481481481482,38.41877669319796,0.190067039041706,0.3240975606056632,0.67001675,0.949190396,0.390843104,3.195067265,0.943396226,2.653301887,0.353773585,0.946745562,10.41172107,22.092,82.256,11.5143186,73.10000000000001,43.7,0.4325925925925926,7905.0,70.0,62.6
22,E06000023,2.8962962962962964,2.486619575039104,6745.969068412396,93.7,0.0059400938918066,8030.521739130435,35.00816884402395,0.1472884936210258,0.3217439395013244,2.663972074,3.509094249,0.0,3.013044277,4.458598726,9.389006841,0.0,13.375796179999998,17.90494762,18.149000000000004,83.204,2.3932851,82.80000000000001,39.2,0.3444545454545454,17580.0,71.0,51.7
23,E06000024,2.9607843137254903,1.0801411643620666,-14790.403133807897,,0.0057274683556198,8291.307692307691,46.18498024273956,0.2452098107533945,0.2633134579866565,1.019974501,1.487462813,0.042498938,1.615646259,0.277777778,1.25,0.138888889,2.920723227,8.124711011,17.955,85.09400000000001,14.9046105,63.0,49.1,0.4185,10585.0,72.0,69.5
24,E06000025,2.936936936936937,0.1185978845853165,-8724.871269858026,107.3,0.0066767732154952,8994.25,41.71166825782824,0.199346469902156,0.2833804955133777,1.7576898930000002,2.040175769,0.0,2.165725047,2.443342776,2.620396601,0.0,15.33286119,8.088460361,28.557,85.848,14.3072482,95.7,55.3,0.37284375,14710.0,73.0,67.1
25,E06000026,2.7093023255813957,0.2906483543221078,-9097.625975269311,80.9,0.0061428517124719,8026.103448275862,40.30740154955555,0.1941061215195623,0.3065688971861237,0.751622822,1.639904339,0.0,2.049880424,1.266308519,0.8442056789999999,0.0,4.988488104,15.06124223,26.083,83.19,10.3111386,77.3,43.3,0.35775,12735.0,119.0,94.7
26,E06000027,2.8378378378378377,-0.6650010166619601,-20513.874884576555,87.7,0.0081554489193845,8012.823529411765,48.60073596578589,0.2754071946633478,0.2445712978995975,1.52173913,3.333333333,0.072463768,3.40826686,1.410788382,1.908713693,0.331950207,3.746877602000001,15.49409102,21.930000000000007,77.82900000000001,24.702561,86.1,46.1,0.3478823529411765,6745.0,120.0,96.0
27,E06000028,,-0.7102899761777557,,,,8462.826086956522,40.52009722323693,0.1925934732026529,0.3048684625185116,,,,,,,,,,,,,,,0.3795652173913044,7470.0,,
28,E06000029,,-0.3209655860207745,,,,8432.888888888889,44.20959352109277,0.228972582849956,0.2694828484368329,,,,,,,,,,,,,,,0.3797777777777777,7135.0,,
29,E06000030,2.702702702702702,0.3479521383999852,-9736.227068967555,95.5,0.0062306285537953,8254.851851851852,40.656267885937815,0.1648605541981956,0.297106309996554,1.053013798,1.7792302110000002,0.072621641,1.767676768,0.804743753,1.482422702,0.0,15.31138437,12.2474118,42.92,92.437,9.7041699,80.60000000000001,60.8,0.3283703703703703,11735.0,107.0,82.3
30,E06000031,2.8412698412698414,0.4358910842760199,-6406.173514114865,84.6,0.0093960203907216,9210.272727272728,38.4538953086095,0.1607187951617462,0.3199562987969802,0.8568368439999999,2.177793645,0.0,0.9282399140000002,1.661695782,2.087771623,0.213037921,4.654141759,13.79050895,27.436000000000003,82.85,10.3003361,74.4,37.2,0.3875454545454545,10580.0,115.0,75.2
31,E06000032,2.8450704225352115,-0.7338581584843288,-10673.623884938146,79.1,0.0109057197961408,10168.0,35.78234515803222,0.1352938124816352,0.345963068557892,1.06075217,1.7357762779999997,0.032144005,3.2797427650000004,3.176748902,4.798918554,0.033795201,5.170665765,14.40409707,21.52200000000001,89.98899999999999,14.8085466,93.8,28.799999999999997,0.472,12580.0,84.0,89.5
32,E06000033,3.0,1.7704316584684872,-16622.74307906691,98.3,0.0074749185954413,10609.25,42.87599247896526,0.2049296722634783,0.2799025985621112,1.199040767,1.582733813,0.0,1.870503597,4.791666667,7.083333333,0.0,12.34375,11.66644031,12.397000000000002,80.12,5.4443991,83.7,41.6,0.3951176470588236,9550.0,122.0,70.5
33,E06000034,2.92,-0.6485630602318938,-13443.347456666304,92.9,0.011831402514173,9238.473684210529,38.087180151224366,0.1481530219603142,0.3228571366881407,0.750883392,1.192579505,0.265017668,2.922940655,4.21101342,6.015733457,2.406293383,13.608345189999998,11.48187258,29.501999999999995,87.079,12.3365408,78.5,40.1,0.3308947368421052,9575.0,123.0,80.5
34,E06000035,2.9285714285714284,0.7063060958960985,-7661.600096777788,91.9,0.0089800299694542,7345.842105263157,39.00258046224967,0.1665513258279672,0.3099541679711596,1.421800948,2.517772512,0.0,3.050947867,3.5962145109999994,4.605678233,0.0,3.785488959,11.86959182,23.638000000000005,84.442,12.9306566,78.4,49.6,0.3708157894736842,15105.0,127.0,56.7
35,E06000036,3.054054054054054,0.2456921511861813,-21525.56103094145,,0.0107163328542827,8277.666666666666,39.83057462745519,0.1543639201028166,0.3013569716485539,1.606145251,1.815642458,0.0,3.770949721,2.72,2.16,0.08,12.16973579,6.661831167,29.681,87.871,8.9350533,86.2,49.7,0.3996666666666666,5820.0,108.0,72.4
36,E06000037,3.060240963855421,0.0985868773245221,-18923.948441648125,,0.0105570034012103,7202.954545454545,43.67628837793709,0.1981410913125876,0.2876039781327798,2.224633749,2.17037439,0.0,3.635377103,1.570996979,2.114803625,0.0,3.927492447,6.317204300999999,20.998999999999988,82.181,6.6073302,72.2,39.7,0.4141818181818182,7970.0,110.0,57.5
