lsoa11,total_pop,progression_rate,quintile
E01000001,,,
E01000002,,,
E01000003,,,
E01000005,50,0.56,5
E01000006,90,0.636,5
E01000007,85,0.632,5
E01000008,125,0.595,5
E01000009,75,0.56,5
E01000010,115,0.54,4
E01000011,80,0.582,5
E01000012,80,0.525,4
E01000013,110,0.422,3
E01000014,110,0.361,2
E01000015,140,0.447,3
E01000016,125,0.378,3
E01000017,110,0.394,3
E01000018,120,0.449,3
E01000019,105,0.398,3
E01000020,130,0.446,3
E01000021,105,0.434,3
E01000022,105,0.447,3
E01000023,125,0.472,4
E01000024,80,0.439,3
E01000025,105,0.495,4
E01000027,140,0.254,1
E01000028,115,0.426,3
E01000029,75,0.521,4
E01000030,105,0.402,3
E01000031,120,0.496,4
E01000032,80,0.43,3
E01000033,80,0.423,3
E01000034,90,0.38,3
E01000035,115,0.47,4
E01000036,100,0.515,4
E01000037,100,0.356,2
E01000038,125,0.378,3
E01000039,85,0.386,3
E01000040,95,0.526,4
E01000041,115,0.383,3
E01000042,105,0.486,4
E01000043,125,0.468,4
E01000044,110,0.602,5
E01000045,95,0.5,4
E01000046,165,0.41,3
E01000048,150,0.605,5
E01000049,115,0.534,4
E01000050,75,0.622,5
E01000051,80,0.638,5
E01000052,105,0.406,3
E01000053,80,0.378,3
E01000054,125,0.423,3
E01000055,115,0.452,3
E01000056,90,0.348,2
E01000057,80,0.432,3
E01000058,105,0.449,3
E01000059,95,0.351,2
E01000060,120,0.462,4
E01000061,125,0.433,3
E01000062,120,0.408,3
E01000063,100,0.275,1
E01000064,125,0.416,3
E01000065,105,0.419,3
E01000066,150,0.611,5
E01000067,155,0.634,5
E01000068,130,0.705,5
E01000069,145,0.616,5
E01000070,120,0.669,5
E01000071,150,0.601,5
E01000072,125,0.468,4
E01000073,100,0.412,3
E01000074,100,0.44,3
E01000075,125,0.392,3
E01000076,140,0.482,4
E01000077,90,0.451,3
E01000078,100,0.39,3
E01000079,130,0.454,3
E01000080,105,0.486,4
E01000081,110,0.378,3
E01000082,100,0.485,4
E01000083,105,0.388,3
E01000084,85,0.302,2
E01000085,105,0.448,3
E01000086,90,0.545,4
E01000087,90,0.389,3
E01000088,120,0.454,3
E01000089,115,0.422,3
E01000090,110,0.509,4
E01000091,115,0.487,4
E01000092,250,0.508,4
E01000093,95,0.419,3
E01000094,65,0.545,4
E01000095,125,0.427,3
E01000096,95,0.531,4
E01000097,105,0.39,3
E01000098,130,0.492,4
E01000099,150,0.409,3
E01000100,115,0.336,2
E01000101,115,0.416,3
E01000102,95,0.375,2
E01000103,150,0.461,4
E01000104,120,0.471,4
E01000105,135,0.36,2
E01000106,90,0.432,3
E01000107,100,0.33,2
E01000108,100,0.426,3
E01000109,120,0.433,3
E01000110,105,0.562,5
E01000111,115,0.526,4
E01000112,100,0.45,3
E01000113,85,0.541,4
E01000114,150,0.51,4
E01000115,100,0.802,5
E01000116,110,0.636,5
E01000117,95,0.536,4
E01000118,135,0.562,5
E01000119,120,0.712,5
E01000120,110,0.736,5
E01000121,120,0.525,4
E01000122,85,0.674,5
E01000123,90,0.598,5
E01000124,75,0.533,4
E01000125,160,0.525,4
E01000126,210,0.488,4
E01000127,105,0.538,4
E01000128,145,0.619,5
E01000129,110,0.536,4
E01000130,125,0.536,4
E01000131,80,0.646,5
E01000132,150,0.513,4
E01000133,110,0.55,4
E01000134,120,0.576,5
E01000135,30,0.813,5
E01000136,,,
E01000137,95,0.617,5
E01000138,70,0.611,5
E01000139,30,0.625,5
E01000140,30,0.469,4
E01000141,95,0.542,4
E01000142,80,0.638,5
E01000143,65,0.576,5
E01000144,,,
E01000145,35,0.528,4
E01000146,,,
E01000147,75,0.716,5
E01000148,105,0.562,5
E01000150,105,0.645,5
E01000151,115,0.557,5
E01000152,145,0.503,4
