,LA code,"Average Rainfall (June, mm)"
1,E09000007,72.4
2,E09000011,83.1
5,E09000019,101.4
6,E09000020,95.5
7,E09000022,101.4
9,E09000028,101.4
10,E09000030,101.4
11,E09000032,95.5
12,E09000033,95.5
14,E09000003,94.8
16,E09000005,93.0
17,E09000006,79.6
18,E09000008,85.6
19,E09000009,93.0
20,E09000010,88.0
23,E09000016,75.3
24,E09000017,62.8
28,E09000025,83.1
30,E09000027,93.0
31,E09000029,71.2
32,E09000031,83.1
33,E08000025,82.8
34,E08000026,105.5
35,E08000027,97.3
36,E08000028,97.3
37,E08000029,76.0
38,E08000030,85.4
39,E08000031,85.4
41,E08000012,105.8
42,E08000013,98.5
43,E08000014,97.7
44,E08000015,97.7
47,E08000003,112.4
49,E08000005,98.7
52,E08000008,117.9
53,E08000009,112.4
54,E08000010,97.7
57,E08000018,106.1
58,E08000019,106.1
59,E08000032,102.1
61,E08000034,99.6
62,E08000035,99.6
63,E08000036,121.6
68,E08000024,79.3
71,E06000023,51.7
73,E06000025,67.1
76,E06000003,89.0
77,E06000004,66.6
78,E06000010,69.6
79,E06000011,86.0
81,E06000013,123.6
83,E06000014,89.2
84,E06000032,89.5
85,E06000055,96.4
86,E06000056,85.2
88,E06000042,74.6
90,E06000015,91.6
94,E06000047,89.4
95,E06000005,71.2
97,E06000043,84.4
99,E06000044,89.0
100,E06000045,86.6
102,E06000016,95.5
105,E06000021,100.8
106,E06000054,83.9
107,E06000030,82.3
113,E06000041,72.4
115,E06000031,75.2
117,E06000007,50.7
119,E06000026,94.7
120,E06000027,96.0
122,E06000033,70.5
123,E06000034,80.5
124,E06000019,100.3
127,E06000035,56.7
129,E06000008,102.2
130,E06000009,62.5
132,E06000018,63.9
133,E06000051,80.6
134,E06000020,105.0
135,E06000049,85.0
136,E06000050,100.5
141,E06000046,78.8
